span_start,span_end,conc_change,conc_slope,per_change,per_slope,station,scenario
2008,2015,0.091,0.013,87,12,Blanchard,pre
2008,2022,0.13,0.0096,128,9.2,Blanchard,all
2015,2022,0.043,0.0061,22,3.1,Blanchard,post
2008,2015,0.0061,0.00088,12,1.7,Tiffin,pre
2008,2022,-0.0038,-0.00027,-7.4,-0.53,Tiffin,all
2015,2022,-0.0099,-0.0014,-17,-2.5,Tiffin,post
2008,2015,0.0049,0.00069,6.9,0.98,Maumee,pre
2008,2022,0.00037,2.7e-05,0.53,0.038,Maumee,all
2015,2022,-0.0045,-0.00064,-5.9,-0.85,Maumee,post
2008,2015,0.011,0.0016,52,7.4,Raisin,pre
2008,2022,0.015,0.0011,69,4.9,Raisin,all
2015,2022,0.0037,0.00052,11,1.6,Raisin,post
