span_start,span_end,conc_change,conc_slope,per_change,per_slope,station,scenario
2008,2015,-5.4,-0.77,-14,-1.9,Blanchard,pre
2008,2022,-2.1,-0.15,-5.2,-0.37,Blanchard,all
2015,2022,3.3,0.47,9.6,1.4,Blanchard,post
2008,2015,3.4,0.49,7.1,1,Tiffin,pre
2008,2022,-2.4,-0.17,-5,-0.36,Tiffin,all
2015,2022,-5.8,-0.83,-11,-1.6,Tiffin,post
2008,2015,-11,-1.6,-15,-2.2,Maumee,pre
2008,2022,-8.3,-0.59,-11,-0.8,Maumee,all
2015,2022,2.8,0.4,4.5,0.64,Maumee,post
2008,2015,3.4,0.48,15,2.2,Raisin,pre
2008,2022,6,0.43,27,1.9,Raisin,all
2015,2022,2.6,0.37,10,1.5,Raisin,post
