span_stat,span_end,conc_change,conc_slope,conc_per_change,conc_per_slope,station,scenario,season
2009,2015,0.13,0.022,86,14,Blanchard,pre,offseason
2009,2015,0.063,0.01,69,12,Blanchard,pre,winter
2009,2015,0.015,0.0025,64,11,Raisin,pre,offseason
2009,2021,0.11,0.009,119,9.9,Blanchard,all,winter
2009,2021,0.18,0.015,118,9.8,Blanchard,all,offseason
2009,2021,0.025,0.002,107,8.9,Raisin,all,offseason
2009,2015,0.054,0.009,52,8.7,Blanchard,pre,spring
2009,2015,0.0095,0.0016,41,6.9,Raisin,pre,spring
2015,2021,0.02,0.0033,40,6.7,Sandusky,post,offseason
2009,2021,0.072,0.006,70,5.8,Blanchard,all,spring
2015,2021,0.045,0.0075,29,4.9,Blanchard,post,winter
2009,2021,0.025,0.0021,58,4.8,Sandusky,all,offseason
2009,2021,0.013,0.0011,55,4.6,Raisin,all,spring
2015,2021,0.0098,0.0016,26,4.3,Raisin,post,offseason
2009,2015,0.011,0.0019,24,4,Maumee,pre,offseason
2009,2015,0.0052,0.00087,22,3.6,Raisin,pre,winter
2015,2021,0.049,0.0082,17,2.9,Blanchard,post,offseason
2009,2015,0.01,0.0017,16,2.7,Tiffin,pre,offseason
2015,2021,0.0084,0.0014,14,2.4,Sandusky,post,spring
2009,2021,0.013,0.0011,27,2.2,Maumee,all,offseason
2009,2021,0.014,0.0012,27,2.2,Sandusky,all,spring
2009,2015,0.0055,0.00092,13,2.1,Sandusky,pre,offseason
2015,2021,0.018,0.003,11,1.9,Blanchard,post,spring
2009,2015,0.0059,0.00098,11,1.8,Sandusky,pre,spring
2015,2021,0.0032,0.00053,9.7,1.6,Raisin,post,spring
2015,2021,0.0042,7.00E-04,6.6,1.1,Sandusky,post,winter
2009,2015,0.0028,0.00046,6.2,1,Tiffin,pre,winter
2009,2015,0.0026,0.00044,5.5,0.91,Tiffin,pre,spring
2009,2015,0.0036,6.00E-04,3.3,0.56,Maumee,pre,winter
2015,2021,0.0014,0.00023,2.3,0.39,Maumee,post,offseason
2009,2021,0.0026,0.00022,4,0.34,Sandusky,all,winter
2015,2021,0.00048,8.10E-05,0.64,0.11,Honey,post,offseason
2009,2015,0.00039,6.60E-05,0.51,0.086,Honey,pre,spring
2015,2021,4.70E-05,7.80E-06,0.07,0.012,Maumee,post,spring
2009,2021,-0.00019,-1.50E-05,-0.77,-0.064,Raisin,all,winter
2009,2021,-0.001,-8.50E-05,-1.6,-0.14,Tiffin,all,offseason
2009,2021,-0.0033,-0.00027,-4.3,-0.36,Honey,all,spring
2009,2021,-0.0032,-0.00027,-4.6,-0.38,Maumee,all,spring
2009,2015,-0.0016,-0.00026,-2.4,-0.4,Sandusky,pre,winter
2009,2021,-0.0024,-2.00E-04,-5.1,-0.42,Tiffin,all,spring
2009,2015,-0.0023,-0.00039,-3,-0.5,Honey,pre,winter
2009,2015,-0.0033,-0.00055,-4.7,-0.78,Maumee,pre,spring
2015,2021,-0.0037,-0.00061,-4.8,-0.8,Honey,post,spring
2009,2021,-0.0084,-7.00E-04,-9.9,-0.83,Honey,all,offseason
2009,2021,-0.015,-0.0013,-14,-1.2,Maumee,all,winter
2009,2021,-0.011,-0.00089,-14,-1.2,Honey,all,winter
2009,2015,-0.0089,-0.0015,-10,-1.7,Honey,pre,offseason
2015,2021,-0.0051,-0.00085,-10,-1.7,Tiffin,post,spring
2009,2021,-0.009,-0.00075,-20,-1.7,Tiffin,all,winter
2015,2021,-0.0083,-0.0014,-11,-1.9,Honey,post,winter
2015,2021,-0.011,-0.0019,-15,-2.6,Tiffin,post,offseason
2015,2021,-0.019,-0.0031,-17,-2.8,Maumee,post,winter
2015,2021,-0.0054,-9.00E-04,-19,-3.1,Raisin,post,winter
2015,2021,-0.012,-0.002,-25,-4.2,Tiffin,post,winter
