Year,q_cms,conc,fn_conc,flux,fn_flux,station,area,fn_yield,season
2008,18.9,0.0327,0.0455,30.3,196,Maumee,16388,11.95997071,offseason
2009,34.1,0.0425,0.0479,65.2,199,Maumee,16388,12.14303149,offseason
2010,15.5,0.0386,0.0503,29.9,203,Maumee,16388,12.38711252,offseason
2011,173.2,0.072,0.0528,676.7,206,Maumee,16388,12.5701733,offseason
2012,29.8,0.0474,0.0552,55.3,210,Maumee,16388,12.81425433,offseason
2013,33.8,0.0509,0.057,84,215,Maumee,16388,13.11935563,offseason
2014,51.2,0.0572,0.058,151.7,221,Maumee,16388,13.48547718,offseason
2015,25.1,0.0474,0.0593,45.4,228,Maumee,16388,13.91261899,offseason
2016,34.4,0.0572,0.0606,81.5,232,Maumee,16388,14.15670002,offseason
2017,90.6,0.0592,0.0611,378.7,234,Maumee,16388,14.27874054,offseason
2018,126.8,0.088,0.0612,518.2,235,Maumee,16388,14.3397608,offseason
2019,67.3,0.0782,0.0612,230.1,236,Maumee,16388,14.40078106,offseason
2020,34.4,0.0495,0.061,101.3,236,Maumee,16388,14.40078106,offseason
2021,160.2,0.0942,0.0607,704,237,Maumee,16388,14.46180132,offseason
2008,1.439,0.0544,0.0609,2.65,11.4,Tiffin,1061,10.74458058,offseason
2009,2.549,0.0588,0.0625,4.81,11.7,Tiffin,1061,11.0273327,offseason
2010,1.181,0.055,0.0641,2.01,12.1,Tiffin,1061,11.40433553,offseason
2011,10.406,0.0789,0.0657,37.92,12.5,Tiffin,1061,11.78133836,offseason
2012,0.783,0.0649,0.0672,1.32,12.9,Tiffin,1061,12.15834119,offseason
2013,1.94,0.0632,0.0692,3.82,13.4,Tiffin,1061,12.62959472,offseason
2014,1.237,0.0649,0.0717,2.49,14.1,Tiffin,1061,13.28934967,offseason
2015,1.332,0.0608,0.0728,2.47,14.5,Tiffin,1061,13.6663525,offseason
2016,4.561,0.0741,0.0712,12.62,14.2,Tiffin,1061,13.38360038,offseason
2017,5.201,0.0726,0.0695,19.23,13.8,Tiffin,1061,13.00659755,offseason
2018,6.143,0.0745,0.0676,19.8,13.3,Tiffin,1061,12.53534402,offseason
2019,8.602,0.0788,0.0656,29.88,12.7,Tiffin,1061,11.96983977,offseason
2020,1.809,0.0554,0.0635,3.4,12.1,Tiffin,1061,11.40433553,offseason
2021,11.389,0.0779,0.0615,40.73,11.5,Tiffin,1061,10.83883129,offseason
2008,0.81,0.14,0.138,3.52,19.4,Blanchard,896,21.65178571,offseason
2009,0.687,0.157,0.154,3.31,20.1,Blanchard,896,22.43303571,offseason
2010,1.099,0.185,0.172,5.68,20.8,Blanchard,896,23.21428571,offseason
2011,18.839,0.173,0.192,115.14,21.5,Blanchard,896,23.99553571,offseason
2012,2.446,0.24,0.214,13.65,22.2,Blanchard,896,24.77678571,offseason
2013,5.251,0.198,0.238,29.62,23,Blanchard,896,25.66964286,offseason
2014,0.999,0.304,0.268,7.9,23.9,Blanchard,896,26.67410714,offseason
2015,1.252,0.281,0.287,9.78,24.7,Blanchard,896,27.56696429,offseason
2016,1.047,0.314,0.294,9.01,25.2,Blanchard,896,28.125,offseason
2017,5.72,0.27,0.302,40.61,25.7,Blanchard,896,28.68303571,offseason
2018,7.072,0.257,0.311,46.13,26.2,Blanchard,896,29.24107143,offseason
2019,1.986,0.29,0.319,15.05,26.7,Blanchard,896,29.79910714,offseason
2020,3.834,0.299,0.328,26.02,27.2,Blanchard,896,30.35714286,offseason
2021,1.832,0.337,0.336,14.47,27.7,Blanchard,896,30.91517857,offseason
2008,3.24,0.0219,0.0428,5.65,53.7,Sandusky,3239,16.57919111,offseason
2009,2.63,0.0213,0.0434,2.87,54.5,Sandusky,3239,16.82618092,offseason
2010,4.91,0.0236,0.044,13.26,55.3,Sandusky,3239,17.07317073,offseason
2011,61.29,0.1061,0.0447,307.46,56.2,Sandusky,3239,17.35103427,offseason
2012,17.79,0.0583,0.0454,74.68,57,Sandusky,3239,17.59802408,offseason
2013,20.38,0.075,0.0463,79.5,58.1,Sandusky,3239,17.93763507,offseason
2014,2.45,0.0227,0.0474,2.24,59.3,Sandusky,3239,18.30811979,offseason
2015,4.04,0.0334,0.0489,6.34,61,Sandusky,3239,18.83297314,offseason
2016,2.73,0.0277,0.0517,3.82,63.2,Sandusky,3239,19.51219512,offseason
2017,22.95,0.0576,0.0548,127.57,65.4,Sandusky,3239,20.1914171,offseason
2018,25.76,0.0762,0.0579,139.51,67.3,Sandusky,3239,20.77801791,offseason
2019,5.26,0.0517,0.0612,13.77,69.1,Sandusky,3239,21.33374498,offseason
2020,11.63,0.0687,0.0646,50.69,70.9,Sandusky,3239,21.88947206,offseason
2021,10.73,0.0803,0.0685,44.46,72.8,Sandusky,3239,22.47607286,offseason
2008,0.338,0.0554,0.0856,1.354,11.8,Honey,386,30.56994819,offseason
2009,0.195,0.0553,0.0846,0.464,11.9,Honey,386,30.82901554,offseason
2010,0.982,0.0655,0.0835,5.997,11.9,Honey,386,30.82901554,offseason
2011,6.68,0.1581,0.0825,53.39,11.9,Honey,386,30.82901554,offseason
2012,2.454,0.0877,0.0815,19.743,11.9,Honey,386,30.82901554,offseason
2013,1.562,0.0969,0.0804,8.25,11.8,Honey,386,30.56994819,offseason
2014,0.144,0.0449,0.078,0.232,11.7,Honey,386,30.31088083,offseason
2015,0.53,0.0612,0.0757,1.9,11.7,Honey,386,30.31088083,offseason
2016,0.324,0.0499,0.0763,1.243,11.8,Honey,386,30.56994819,offseason
2017,2.763,0.0815,0.0769,21.22,11.8,Honey,386,30.56994819,offseason
2018,4.158,0.1084,0.0769,32.846,11.9,Honey,386,30.82901554,offseason
2019,0.526,0.0683,0.0767,1.783,11.8,Honey,386,30.56994819,offseason
2020,1.986,0.0875,0.0763,13.125,11.8,Honey,386,30.56994819,offseason
2021,1.745,0.0955,0.0762,10.599,11.8,Honey,386,30.56994819,offseason
2008,7.6,0.0186,0.0213,6.53,13.3,Raisin,2698,4.929577465,offseason
2009,7.9,0.021,0.023,5.51,14,Raisin,2698,5.18902891,offseason
2010,6.06,0.0204,0.0249,4.29,14.7,Raisin,2698,5.448480356,offseason
2011,21.8,0.0391,0.0269,45.15,15.4,Raisin,2698,5.707931801,offseason
2012,3.56,0.0192,0.0289,2.1,16,Raisin,2698,5.930318755,offseason
2013,7.71,0.0286,0.0308,7.69,16.6,Raisin,2698,6.152705708,offseason
2014,6.63,0.0292,0.0336,6.56,17.7,Raisin,2698,6.560415122,offseason
2015,5.87,0.0322,0.0378,6.27,19.5,Raisin,2698,7.227575982,offseason
2016,9.81,0.0406,0.0405,14.93,20.7,Raisin,2698,7.672349889,offseason
2017,7.78,0.0359,0.0423,12.39,21.1,Raisin,2698,7.820607858,offseason
2018,14.36,0.0497,0.0438,29.03,21.1,Raisin,2698,7.820607858,offseason
2019,21.12,0.0611,0.0452,50.13,20.9,Raisin,2698,7.746478873,offseason
2020,5.64,0.0402,0.0464,6.93,20.6,Raisin,2698,7.635285397,offseason
2021,26.78,0.0627,0.0476,70.13,20.3,Raisin,2698,7.52409192,offseason
2008,284.2,0.0767,0.0708,816,775,Maumee,16388,47.29070051,spring
2009,252.3,0.0643,0.0709,698,775,Maumee,16388,47.29070051,spring
2010,273.3,0.0743,0.071,761,774,Maumee,16388,47.22968025,spring
2011,385.6,0.0701,0.071,1153,773,Maumee,16388,47.16866,spring
2012,78.6,0.0501,0.0708,175,770,Maumee,16388,46.98559922,spring
2013,252.8,0.0724,0.07,717,764,Maumee,16388,46.61947767,spring
2014,262.9,0.0661,0.0686,714,757,Maumee,16388,46.19233586,spring
2015,419.6,0.0816,0.0676,1449,748,Maumee,16388,45.64315353,spring
2016,185.5,0.0579,0.0675,439,739,Maumee,16388,45.0939712,spring
2017,328.4,0.078,0.0679,991,734,Maumee,16388,44.7888699,spring
2018,228.4,0.0663,0.0681,583,727,Maumee,16388,44.36172809,spring
2019,382,0.0853,0.068,1070,720,Maumee,16388,43.93458628,spring
2020,212.9,0.0545,0.0679,523,713,Maumee,16388,43.50744447,spring
2021,211.9,0.0715,0.0676,590,704,Maumee,16388,42.95826214,spring
2022,218.6,0.0712,0.0674,557,697,Maumee,16388,42.53112033,spring
2008,19.15,0.0511,0.0481,41.9,31.5,Tiffin,1061,29.68897267,spring
2009,19.51,0.0493,0.0484,39.9,31.8,Tiffin,1061,29.97172479,spring
2010,18.94,0.0509,0.0488,37.4,32.1,Tiffin,1061,30.25447691,spring
2011,22.93,0.0543,0.0492,51.3,32.4,Tiffin,1061,30.53722903,spring
2012,7.33,0.0526,0.0498,10.8,32.7,Tiffin,1061,30.81998115,spring
2013,12.99,0.0463,0.0501,23.8,33,Tiffin,1061,31.10273327,spring
2014,15.31,0.0483,0.0508,31.2,33.4,Tiffin,1061,31.4797361,spring
2015,16.77,0.052,0.0511,46.1,33.6,Tiffin,1061,31.66823751,spring
2016,11.33,0.0459,0.0511,16.2,33.5,Tiffin,1061,31.5739868,spring
2017,17.35,0.052,0.0506,35.4,33.1,Tiffin,1061,31.19698398,spring
2018,17,0.0502,0.0497,31.9,32.5,Tiffin,1061,30.63147974,spring
2019,22.64,0.0567,0.0486,46.4,31.6,Tiffin,1061,29.78322337,spring
2020,14.6,0.0438,0.0475,26.7,30.7,Tiffin,1061,28.93496701,spring
2021,10.65,0.0417,0.046,24,29.5,Tiffin,1061,27.80395853,spring
