span_stat,span_end,flux_change,flux_slope,flux_per_change,flux_per_slope,station,scenario,season
2009,2015,18,2.9,2.1,0.34,Maumee,pre,winter
2009,2021,-55,-4.6,-6.4,-0.53,Maumee,all,winter
2015,2021,-73,-12,-8.3,-1.4,Maumee,post,winter
2009,2015,2.9,0.48,8.6,1.4,Tiffin,pre,winter
2009,2021,-2.2,-0.18,-6.4,-0.53,Tiffin,all,winter
2015,2021,-5.1,-0.84,-14,-2.3,Tiffin,post,winter
2009,2015,6.3,1,12,2,Blanchard,pre,winter
2009,2021,12,1,23,2,Blanchard,all,winter
2015,2021,5.9,0.98,10,1.7,Blanchard,post,winter
2009,2015,12,2,6.3,1.1,Sandusky,pre,winter
2009,2021,24,2,13,1.1,Sandusky,all,winter
2015,2021,12,2.1,6.3,1,Sandusky,post,winter
2009,2015,0.86,0.14,2.9,0.48,Honey,pre,winter
2009,2021,-0.55,-0.046,-1.8,-0.15,Honey,all,winter
2015,2021,-1.4,-0.24,-4.6,-0.76,Honey,post,winter
2009,2015,9.6,1.6,24,4,Raisin,pre,winter
2009,2021,2.7,0.22,6.6,0.55,Raisin,all,winter
2015,2021,-7,-1.2,-14,-2.3,Raisin,post,winter
2009,2015,-26,-4.4,-3.4,-0.57,Maumee,pre,spring
2009,2021,-70,-5.9,-9.1,-0.76,Maumee,all,spring
2015,2021,-44,-7.3,-5.9,-0.98,Maumee,post,spring
2009,2015,1.8,0.31,5.8,0.97,Tiffin,pre,spring
2009,2021,-2.2,-0.19,-7,-0.58,Tiffin,all,spring
2015,2021,-4.1,-0.68,-12,-2,Tiffin,post,spring
2009,2015,7.4,1.2,16,2.7,Blanchard,pre,spring
2009,2021,13,1.1,27,2.3,Blanchard,all,spring
2015,2021,5.2,0.87,9.8,1.6,Blanchard,post,spring
2009,2015,14,2.3,9.8,1.6,Sandusky,pre,spring
2009,2021,28,2.3,19,1.6,Sandusky,all,spring
2015,2021,14,2.3,8.7,1.5,Sandusky,post,spring
2009,2015,2,0.33,8.3,1.4,Honey,pre,spring
2009,2021,1.2,0.1,5.1,0.43,Honey,all,spring
2015,2021,-0.74,-0.12,-2.9,-0.48,Honey,post,spring
2009,2015,10,1.7,29,4.8,Raisin,pre,spring
2009,2021,7.8,0.65,21,1.8,Raisin,all,spring
2015,2021,-2.7,-0.45,-5.8,-0.96,Raisin,post,spring
2009,2015,29,4.8,14,2.4,Maumee,pre,offseason
2009,2021,37,3.1,19,1.6,Maumee,all,offseason
2015,2021,8.7,1.5,3.8,0.64,Maumee,post,offseason
2009,2015,2.7,0.46,23,3.9,Tiffin,pre,offseason
2009,2021,-0.21,-0.017,-1.8,-0.15,Tiffin,all,offseason
2015,2021,-2.9,-0.49,-20,-3.4,Tiffin,post,offseason
2009,2015,4.6,0.77,23,3.9,Blanchard,pre,offseason
2009,2021,7.7,0.64,38,3.2,Blanchard,all,offseason
2015,2021,3,0.51,12,2.1,Blanchard,post,offseason
2009,2015,6.5,1.1,12,2,Sandusky,pre,offseason
2009,2021,18,1.5,34,2.8,Sandusky,all,offseason
2015,2021,12,2,19,3.2,Sandusky,post,offseason
2009,2015,-0.18,-0.03,-1.5,-0.25,Honey,pre,offseason
2009,2021,-0.071,-0.0059,-0.6,-0.05,Honey,all,offseason
2015,2021,0.11,0.018,0.94,0.16,Honey,post,offseason
2009,2015,5.5,0.92,39,6.6,Raisin,pre,offseason
2009,2021,6.4,0.53,46,3.8,Raisin,all,offseason
2015,2021,0.85,0.14,4.3,0.72,Raisin,post,offseason
