span_start,span_end,unit_change,unit_slope,per_change,per_slope,station,scenario,type,season
2009,2015,-26,-4.4,-3.4,-0.57,Maumee,pre,flux,spring
2009,2021,-70,-5.9,-9.1,-0.76,Maumee,all,flux,spring
2015,2021,-44,-7.3,-5.9,-0.98,Maumee,post,flux,spring
2009,2015,1.8,0.31,5.8,0.97,Tiffin,pre,flux,spring
2009,2021,-2.2,-0.19,-7,-0.58,Tiffin,all,flux,spring
2015,2021,-4.1,-0.68,-12,-2,Tiffin,post,flux,spring
2009,2015,7.4,1.2,16,2.7,Blanchard,pre,flux,spring
2009,2021,13,1.1,27,2.3,Blanchard,all,flux,spring
2015,2021,5.2,0.87,9.8,1.6,Blanchard,post,flux,spring
2009,2015,14,2.3,9.8,1.6,Sandusky,pre,flux,spring
2009,2021,28,2.3,19,1.6,Sandusky,all,flux,spring
2015,2021,14,2.3,8.7,1.5,Sandusky,post,flux,spring
2009,2015,2,0.33,8.3,1.4,Honey,pre,flux,spring
2009,2021,1.2,0.1,5.1,0.43,Honey,all,flux,spring
2015,2021,-0.74,-0.12,-2.9,-0.48,Honey,post,flux,spring
2009,2015,10,1.7,29,4.8,Raisin,pre,flux,spring
2009,2021,7.8,0.65,21,1.8,Raisin,all,flux,spring
2015,2021,-2.7,-0.45,-5.8,-0.96,Raisin,post,flux,spring
