span_start,span_end,unit_change,unit_slope,per_change,per_slope,station,scenario,type,season
2009,2015,29,4.8,14,2.4,Maumee,pre,flux,offseason
2009,2021,37,3.1,19,1.6,Maumee,all,flux,offseason
2015,2021,8.7,1.5,3.8,0.64,Maumee,post,flux,offseason
2009,2015,2.7,0.46,23,3.9,Tiffin,pre,flux,offseason
2009,2021,-0.21,-0.017,-1.8,-0.15,Tiffin,all,flux,offseason
2015,2021,-2.9,-0.49,-20,-3.4,Tiffin,post,flux,offseason
2009,2015,4.6,0.77,23,3.9,Blanchard,pre,flux,offseason
2009,2021,7.7,0.64,38,3.2,Blanchard,all,flux,offseason
2015,2021,3,0.51,12,2.1,Blanchard,post,flux,offseason
2009,2015,6.5,1.1,12,2,Sandusky,pre,flux,offseason
2009,2021,18,1.5,34,2.8,Sandusky,all,flux,offseason
2015,2021,12,2,19,3.2,Sandusky,post,flux,offseason
2009,2015,-0.18,-0.03,-1.5,-0.25,Honey,pre,flux,offseason
2009,2021,-0.071,-0.0059,-0.6,-0.05,Honey,all,flux,offseason
2015,2021,0.11,0.018,0.94,0.16,Honey,post,flux,offseason
2009,2015,5.5,0.92,39,6.6,Raisin,pre,flux,offseason
2009,2021,6.4,0.53,46,3.8,Raisin,all,flux,offseason
2015,2021,0.85,0.14,4.3,0.72,Raisin,post,flux,offseason
