"Year","q_cms","conc","fn_conc","flux","fn_flux","station","area","fn_yield"
2008,18.9,0.0327,0.0455,30.3,196,"Maumee",16388,11.9599707102758
2009,34.1,0.0425,0.0479,65.2,199,"Maumee",16388,12.1430314864535
2010,15.5,0.0386,0.0503,29.9,203,"Maumee",16388,12.3871125213571
2011,173.2,0.072,0.0528,676.7,206,"Maumee",16388,12.5701732975348
2012,29.8,0.0474,0.0552,55.3,210,"Maumee",16388,12.8142543324384
2013,33.8,0.0509,0.057,84,215,"Maumee",16388,13.1193556260679
2014,51.2,0.0572,0.058,151.7,221,"Maumee",16388,13.4854771784232
2015,25.1,0.0474,0.0593,45.4,228,"Maumee",16388,13.9126189895045
2016,34.4,0.0572,0.0606,81.5,232,"Maumee",16388,14.1567000244081
2017,90.6,0.0592,0.0611,378.7,234,"Maumee",16388,14.2787405418599
2018,126.8,0.088,0.0612,518.2,235,"Maumee",16388,14.3397608005858
2019,67.3,0.0782,0.0612,230.1,236,"Maumee",16388,14.4007810593117
2020,34.4,0.0495,0.061,101.3,236,"Maumee",16388,14.4007810593117
2021,160.2,0.0942,0.0607,704,237,"Maumee",16388,14.4618013180376
2008,1.439,0.0544,0.0609,2.65,11.4,"Tiffin",1061,10.7445805843544
2009,2.549,0.0588,0.0625,4.81,11.7,"Tiffin",1061,11.0273327049953
2010,1.181,0.055,0.0641,2.01,12.1,"Tiffin",1061,11.4043355325165
2011,10.406,0.0789,0.0657,37.92,12.5,"Tiffin",1061,11.7813383600377
2012,0.783,0.0649,0.0672,1.32,12.9,"Tiffin",1061,12.1583411875589
2013,1.94,0.0632,0.0692,3.82,13.4,"Tiffin",1061,12.6295947219604
2014,1.237,0.0649,0.0717,2.49,14.1,"Tiffin",1061,13.2893496701225
2015,1.332,0.0608,0.0728,2.47,14.5,"Tiffin",1061,13.6663524976437
2016,4.561,0.0741,0.0712,12.62,14.2,"Tiffin",1061,13.3836003770028
2017,5.201,0.0726,0.0695,19.23,13.8,"Tiffin",1061,13.0065975494816
2018,6.143,0.0745,0.0676,19.8,13.3,"Tiffin",1061,12.5353440150801
2019,8.602,0.0788,0.0656,29.88,12.7,"Tiffin",1061,11.9698397737983
2020,1.809,0.0554,0.0635,3.4,12.1,"Tiffin",1061,11.4043355325165
2021,11.389,0.0779,0.0615,40.73,11.5,"Tiffin",1061,10.8388312912347
2008,0.81,0.14,0.138,3.52,19.4,"Blanchard",896,21.6517857142857
2009,0.687,0.157,0.154,3.31,20.1,"Blanchard",896,22.4330357142857
2010,1.099,0.185,0.172,5.68,20.8,"Blanchard",896,23.2142857142857
2011,18.839,0.173,0.192,115.14,21.5,"Blanchard",896,23.9955357142857
2012,2.446,0.24,0.214,13.65,22.2,"Blanchard",896,24.7767857142857
2013,5.251,0.198,0.238,29.62,23,"Blanchard",896,25.6696428571429
2014,0.999,0.304,0.268,7.9,23.9,"Blanchard",896,26.6741071428571
2015,1.252,0.281,0.287,9.78,24.7,"Blanchard",896,27.5669642857143
2016,1.047,0.314,0.294,9.01,25.2,"Blanchard",896,28.125
2017,5.72,0.27,0.302,40.61,25.7,"Blanchard",896,28.6830357142857
2018,7.072,0.257,0.311,46.13,26.2,"Blanchard",896,29.2410714285714
2019,1.986,0.29,0.319,15.05,26.7,"Blanchard",896,29.7991071428571
2020,3.834,0.299,0.328,26.02,27.2,"Blanchard",896,30.3571428571429
2021,1.832,0.337,0.336,14.47,27.7,"Blanchard",896,30.9151785714286
2008,3.24,0.0219,0.0428,5.65,53.7,"Sandusky",3239,16.5791911083668
2009,2.63,0.0213,0.0434,2.87,54.5,"Sandusky",3239,16.8261809200371
2010,4.91,0.0236,0.044,13.26,55.3,"Sandusky",3239,17.0731707317073
2011,61.29,0.1061,0.0447,307.46,56.2,"Sandusky",3239,17.3510342698364
2012,17.79,0.0583,0.0454,74.68,57,"Sandusky",3239,17.5980240815066
2013,20.38,0.075,0.0463,79.5,58.1,"Sandusky",3239,17.9376350725533
2014,2.45,0.0227,0.0474,2.24,59.3,"Sandusky",3239,18.3081197900587
2015,4.04,0.0334,0.0489,6.34,61,"Sandusky",3239,18.832973139858
2016,2.73,0.0277,0.0517,3.82,63.2,"Sandusky",3239,19.5121951219512
2017,22.95,0.0576,0.0548,127.57,65.4,"Sandusky",3239,20.1914171040445
2018,25.76,0.0762,0.0579,139.51,67.3,"Sandusky",3239,20.7780179067613
2019,5.26,0.0517,0.0612,13.77,69.1,"Sandusky",3239,21.3337449830195
2020,11.63,0.0687,0.0646,50.69,70.9,"Sandusky",3239,21.8894720592776
2021,10.73,0.0803,0.0685,44.46,72.8,"Sandusky",3239,22.4760728619944
2008,0.338,0.0554,0.0856,1.354,11.8,"Honey",386,30.5699481865285
2009,0.195,0.0553,0.0846,0.464,11.9,"Honey",386,30.8290155440415
2010,0.982,0.0655,0.0835,5.997,11.9,"Honey",386,30.8290155440415
2011,6.68,0.1581,0.0825,53.39,11.9,"Honey",386,30.8290155440415
2012,2.454,0.0877,0.0815,19.743,11.9,"Honey",386,30.8290155440415
2013,1.562,0.0969,0.0804,8.25,11.8,"Honey",386,30.5699481865285
2014,0.144,0.0449,0.078,0.232,11.7,"Honey",386,30.3108808290155
2015,0.53,0.0612,0.0757,1.9,11.7,"Honey",386,30.3108808290155
2016,0.324,0.0499,0.0763,1.243,11.8,"Honey",386,30.5699481865285
2017,2.763,0.0815,0.0769,21.22,11.8,"Honey",386,30.5699481865285
2018,4.158,0.1084,0.0769,32.846,11.9,"Honey",386,30.8290155440415
2019,0.526,0.0683,0.0767,1.783,11.8,"Honey",386,30.5699481865285
2020,1.986,0.0875,0.0763,13.125,11.8,"Honey",386,30.5699481865285
2021,1.745,0.0955,0.0762,10.599,11.8,"Honey",386,30.5699481865285
2008,7.6,0.0186,0.0213,6.53,13.3,"Raisin",2698,4.92957746478873
2009,7.9,0.021,0.023,5.51,14,"Raisin",2698,5.18902891030393
2010,6.06,0.0204,0.0249,4.29,14.7,"Raisin",2698,5.44848035581913
2011,21.8,0.0391,0.0269,45.15,15.4,"Raisin",2698,5.70793180133432
2012,3.56,0.0192,0.0289,2.1,16,"Raisin",2698,5.93031875463306
2013,7.71,0.0286,0.0308,7.69,16.6,"Raisin",2698,6.1527057079318
2014,6.63,0.0292,0.0336,6.56,17.7,"Raisin",2698,6.56041512231282
2015,5.87,0.0322,0.0378,6.27,19.5,"Raisin",2698,7.22757598220904
2016,9.81,0.0406,0.0405,14.93,20.7,"Raisin",2698,7.67234988880652
2017,7.78,0.0359,0.0423,12.39,21.1,"Raisin",2698,7.82060785767235
2018,14.36,0.0497,0.0438,29.03,21.1,"Raisin",2698,7.82060785767235
