span_start,span_end,unit_change,unit_slope,per_change,per_slope,station,scenario,type,season
2009,2015,0.0049,0.00082,2.8,0.47,Maumee,pre,conc,offseason
2009,2021,0.017,0.0014,9.8,0.81,Maumee,all,conc,offseason
2015,2021,0.012,0.002,6.7,1.1,Maumee,post,conc,offseason
2009,2015,0.019,0.0031,11,1.9,Tiffin,pre,conc,offseason
2009,2021,-0.0042,-0.00035,-2.5,-0.21,Tiffin,all,conc,offseason
2015,2021,-0.023,-0.0038,-12,-2,Tiffin,post,conc,offseason
2009,2015,0.12,0.02,48,8,Blanchard,pre,conc,offseason
2009,2021,0.19,0.016,73,6.1,Blanchard,all,conc,offseason
2015,2021,0.064,0.011,17,2.8,Blanchard,post,conc,offseason
2009,2015,-0.0052,-0.00087,-3.7,-0.61,Sandusky,pre,conc,offseason
2009,2021,0.039,0.0033,28,2.3,Sandusky,all,conc,offseason
2015,2021,0.044,0.0074,33,5.4,Sandusky,post,conc,offseason
2009,2015,0.00073,0.00012,0.48,0.08,Honey,pre,conc,offseason
2009,2021,0.024,0.002,16,1.3,Honey,all,conc,offseason
2015,2021,0.023,0.0038,15,2.5,Honey,post,conc,offseason
2009,2015,0.016,0.0027,22,3.6,Raisin,pre,conc,offseason
2009,2021,0.023,0.0019,30,2.5,Raisin,all,conc,offseason
2015,2021,0.0064,0.0011,7.1,1.2,Raisin,post,conc,offseason
