span_start,span_end,unit_change,unit_slope,per_change,per_slope,station,scenario,type,season
2009,2015,-0.0033,-0.00055,-4.7,-0.78,Maumee,pre,conc,spring
2009,2021,-0.0032,-0.00027,-4.6,-0.38,Maumee,all,conc,spring
2015,2021,4.7e-05,7.8e-06,0.07,0.012,Maumee,post,conc,spring
2009,2015,0.0026,0.00044,5.5,0.91,Tiffin,pre,conc,spring
2009,2021,-0.0024,-2e-04,-5.1,-0.42,Tiffin,all,conc,spring
2015,2021,-0.0051,-0.00085,-10,-1.7,Tiffin,post,conc,spring
2009,2015,0.054,0.009,52,8.7,Blanchard,pre,conc,spring
2009,2021,0.072,0.006,70,5.8,Blanchard,all,conc,spring
2015,2021,0.018,0.003,11,1.9,Blanchard,post,conc,spring
2009,2015,0.0059,0.00098,11,1.8,Sandusky,pre,conc,spring
2009,2021,0.014,0.0012,27,2.2,Sandusky,all,conc,spring
2015,2021,0.0084,0.0014,14,2.4,Sandusky,post,conc,spring
2009,2015,0.00039,6.6e-05,0.51,0.086,Honey,pre,conc,spring
2009,2021,-0.0033,-0.00027,-4.3,-0.36,Honey,all,conc,spring
2015,2021,-0.0037,-0.00061,-4.8,-0.8,Honey,post,conc,spring
2009,2015,0.0095,0.0016,41,6.9,Raisin,pre,conc,spring
2009,2021,0.013,0.0011,55,4.6,Raisin,all,conc,spring
2015,2021,0.0032,0.00053,9.7,1.6,Raisin,post,conc,spring
