"Year","q_cms","conc","fn_conc","flux","fn_flux","station","area","fn_yield"
2008,284.2,0.0767,0.0708,816,775,"Maumee",16388,47.2907005125702
2009,252.3,0.0643,0.0709,698,775,"Maumee",16388,47.2907005125702
2010,273.3,0.0743,0.071,761,774,"Maumee",16388,47.2296802538443
2011,385.6,0.0701,0.071,1153,773,"Maumee",16388,47.1686599951184
2012,78.6,0.0501,0.0708,175,770,"Maumee",16388,46.9855992189407
2013,252.8,0.0724,0.07,717,764,"Maumee",16388,46.6194776665853
2014,262.9,0.0661,0.0686,714,757,"Maumee",16388,46.192335855504
2015,419.6,0.0816,0.0676,1449,748,"Maumee",16388,45.643153526971
2016,185.5,0.0579,0.0675,439,739,"Maumee",16388,45.0939711984379
2017,328.4,0.078,0.0679,991,734,"Maumee",16388,44.7888699048084
2018,228.4,0.0663,0.0681,583,727,"Maumee",16388,44.3617280937271
2019,382,0.0853,0.068,1070,720,"Maumee",16388,43.9345862826458
2020,212.9,0.0545,0.0679,523,713,"Maumee",16388,43.5074444715646
2021,211.9,0.0715,0.0676,590,704,"Maumee",16388,42.9582621430315
2022,218.6,0.0712,0.0674,557,697,"Maumee",16388,42.5311203319502
2008,19.15,0.0511,0.0481,41.9,31.5,"Tiffin",1061,29.688972667295
2009,19.51,0.0493,0.0484,39.9,31.8,"Tiffin",1061,29.9717247879359
2010,18.94,0.0509,0.0488,37.4,32.1,"Tiffin",1061,30.2544769085768
2011,22.93,0.0543,0.0492,51.3,32.4,"Tiffin",1061,30.5372290292177
2012,7.33,0.0526,0.0498,10.8,32.7,"Tiffin",1061,30.8199811498586
2013,12.99,0.0463,0.0501,23.8,33,"Tiffin",1061,31.1027332704995
2014,15.31,0.0483,0.0508,31.2,33.4,"Tiffin",1061,31.4797360980207
2015,16.77,0.052,0.0511,46.1,33.6,"Tiffin",1061,31.6682375117813
2016,11.33,0.0459,0.0511,16.2,33.5,"Tiffin",1061,31.573986804901
2017,17.35,0.052,0.0506,35.4,33.1,"Tiffin",1061,31.1969839773798
2018,17,0.0502,0.0497,31.9,32.5,"Tiffin",1061,30.631479736098
2019,22.64,0.0567,0.0486,46.4,31.6,"Tiffin",1061,29.7832233741753
2020,14.6,0.0438,0.0475,26.7,30.7,"Tiffin",1061,28.9349670122526
2021,10.65,0.0417,0.046,24,29.5,"Tiffin",1061,27.803958529689
2022,12.62,0.0411,0.0446,17.1,28.5,"Tiffin",1061,26.861451460886
2008,19.18,0.0979,0.0958,63.1,44.9,"Blanchard",896,50.1116071428571
2009,10.16,0.1024,0.1038,34.1,46.2,"Blanchard",896,51.5625
2010,11.8,0.1077,0.1125,38.5,47.5,"Blanchard",896,53.0133928571429
2011,23.05,0.1168,0.1217,87,48.8,"Blanchard",896,54.4642857142857
2012,3.94,0.1817,0.1317,13.1,50.2,"Blanchard",896,56.0267857142857
2013,16.43,0.131,0.1415,68.5,51.3,"Blanchard",896,57.2544642857143
2014,10.45,0.1412,0.1513,37.7,52.5,"Blanchard",896,58.59375
2015,18.28,0.1507,0.1579,79.6,53.5,"Blanchard",896,59.7098214285714
2016,9.55,0.167,0.1608,35.4,54.4,"Blanchard",896,60.7142857142857
2017,18.57,0.145,0.1631,84.9,55.2,"Blanchard",896,61.6071428571429
2018,10.88,0.1634,0.1662,44.7,56.1,"Blanchard",896,62.6116071428571
2019,18.7,0.1421,0.1695,78.2,57,"Blanchard",896,63.6160714285714
2020,10.4,0.1859,0.173,42.3,57.9,"Blanchard",896,64.6205357142857
