span_start,span_end,unit_change,unit_slope,per_change,per_slope,station,scenario,type,season
2009,2015,-0.013,-0.0022,-5,-0.83,Maumee,pre,conc,spring
2009,2021,0.014,0.0012,5.4,0.45,Maumee,all,conc,spring
2015,2021,0.027,0.0045,11,1.8,Maumee,post,conc,spring
2009,2015,0.016,0.0027,9,1.5,Tiffin,pre,conc,spring
2009,2021,0.021,0.0018,12,0.99,Tiffin,all,conc,spring
2015,2021,0.0051,0.00085,2.6,0.44,Tiffin,post,conc,spring
2009,2015,0.047,0.0078,17,2.9,Blanchard,pre,conc,spring
2009,2021,0.081,0.0067,30,2.5,Blanchard,all,conc,spring
2015,2021,0.034,0.0057,11,1.8,Blanchard,post,conc,spring
2009,2015,-0.005,-0.00083,-2,-0.34,Sandusky,pre,conc,spring
2009,2021,0.044,0.0037,18,1.5,Sandusky,all,conc,spring
2015,2021,0.049,0.0082,20,3.4,Sandusky,post,conc,spring
2009,2015,0.0079,0.0013,3.4,0.56,Honey,pre,conc,spring
2009,2021,0.029,0.0024,12,1,Honey,all,conc,spring
2015,2021,0.021,0.0035,8.6,1.4,Honey,post,conc,spring
2009,2015,0.02,0.0033,21,3.5,Raisin,pre,conc,spring
2009,2021,0.04,0.0033,42,3.5,Raisin,all,conc,spring
2015,2021,0.02,0.0033,17,2.9,Raisin,post,conc,spring
