span_stat,span_end,unit_change,unit_slope,per_change,per_slope,station,scenario,type,season
2009,2015,-132,-22,-4,-0.66,Maumee,pre,flux,spring
2009,2021,277,23,8.3,0.69,Maumee,all,flux,spring
2015,2021,409,68,13,2.1,Maumee,post,flux,spring
2009,2015,14,2.3,12,2,Tiffin,pre,flux,spring
2009,2021,24,2,21,1.7,Tiffin,all,flux,spring
2015,2021,9.9,1.6,7.6,1.3,Tiffin,post,flux,spring
2009,2015,0.31,0.051,0.16,0.027,Blanchard,pre,flux,spring
2009,2021,23,1.9,12,1,Blanchard,all,flux,spring
2015,2021,23,3.8,12,2,Blanchard,post,flux,spring
2009,2015,0.89,0.15,0.12,0.02,Sandusky,pre,flux,spring
2009,2021,152,13,21,1.7,Sandusky,all,flux,spring
2015,2021,151,25,21,3.5,Sandusky,post,flux,spring
2009,2015,6.2,1,6.8,1.1,Honey,pre,flux,spring
2009,2021,16,1.3,18,1.5,Honey,all,flux,spring
2015,2021,9.6,1.6,10,1.7,Honey,post,flux,spring
2009,2015,36,6,23,3.9,Raisin,pre,flux,spring
2009,2021,75,6.3,49,4,Raisin,all,flux,spring
2015,2021,39,6.5,21,3.4,Raisin,post,flux,spring
