"Year","q_cms","conc","fn_conc","flux","fn_flux","station","area","fn_yield"
2008,284.2,0.283,0.265,3372,3372,"Maumee",16388,205.760312423725
2009,252.3,0.251,0.261,3525,3333,"Maumee",16388,203.380522333415
2010,273.3,0.271,0.258,3000,3298,"Maumee",16388,201.244813278008
2011,385.6,0.293,0.256,5842,3267,"Maumee",16388,199.353185257505
2012,78.6,0.166,0.253,656,3239,"Maumee",16388,197.64461801318
2013,252.8,0.252,0.251,2902,3219,"Maumee",16388,196.424212838662
2014,262.9,0.25,0.249,3260,3200,"Maumee",16388,195.26482792287
2015,419.6,0.289,0.248,5728,3201,"Maumee",16388,195.325848181596
2016,185.5,0.222,0.252,1805,3246,"Maumee",16388,198.071759824262
2017,328.4,0.281,0.256,4303,3313,"Maumee",16388,202.160117158897
2018,228.4,0.25,0.26,2592,3381,"Maumee",16388,206.309494752258
2019,382,0.329,0.265,5095,3452,"Maumee",16388,210.641933121796
2020,212.9,0.239,0.27,2933,3527,"Maumee",16388,215.218452526239
2021,211.9,0.252,0.275,2559,3610,"Maumee",16388,220.283134000488
2022,218.6,0.268,0.281,2463,3695,"Maumee",16388,225.469855992189
2008,19.15,0.185,0.176,142.6,114,"Tiffin",1061,107.445805843544
2009,19.51,0.188,0.177,163.4,116,"Tiffin",1061,109.33081998115
2010,18.94,0.192,0.18,139.7,117,"Tiffin",1061,110.273327049953
2011,22.93,0.2,0.182,186.1,119,"Tiffin",1061,112.158341187559
2012,7.33,0.162,0.185,39.9,122,"Tiffin",1061,114.985862393968
2013,12.99,0.177,0.188,92.4,124,"Tiffin",1061,116.870876531574
2014,15.31,0.181,0.191,117.8,127,"Tiffin",1061,119.698397737983
2015,16.77,0.195,0.193,165.6,130,"Tiffin",1061,122.525918944392
2016,11.33,0.178,0.195,67.4,132,"Tiffin",1061,124.410933081998
2017,17.35,0.204,0.196,142.5,133,"Tiffin",1061,125.353440150801
2018,17,0.203,0.197,137.8,135,"Tiffin",1061,127.238454288407
2019,22.64,0.24,0.197,204,137,"Tiffin",1061,129.123468426013
2020,14.6,0.185,0.199,127.5,138,"Tiffin",1061,130.065975494816
