span_start,span_end,unit_change,unit_slope,per_change,per_slope,station,scenario,type,season
2009,2015,0.0036,6e-04,3.3,0.56,Maumee,pre,conc,winter
2009,2021,-0.015,-0.0013,-14,-1.2,Maumee,all,conc,winter
2015,2021,-0.019,-0.0031,-17,-2.8,Maumee,post,conc,winter
2009,2015,0.0028,0.00046,6.2,1,Tiffin,pre,conc,winter
2009,2021,-0.009,-0.00075,-20,-1.7,Tiffin,all,conc,winter
2015,2021,-0.012,-0.002,-25,-4.2,Tiffin,post,conc,winter
2009,2015,0.063,0.01,69,12,Blanchard,pre,conc,winter
2009,2021,0.11,0.009,119,9.9,Blanchard,all,conc,winter
2015,2021,0.045,0.0075,29,4.9,Blanchard,post,conc,winter
2009,2015,-0.0016,-0.00026,-2.4,-0.4,Sandusky,pre,conc,winter
2009,2021,0.0026,0.00022,4,0.34,Sandusky,all,conc,winter
2015,2021,0.0042,7e-04,6.6,1.1,Sandusky,post,conc,winter
2009,2015,-0.0023,-0.00039,-3,-0.5,Honey,pre,conc,winter
2009,2021,-0.011,-0.00089,-14,-1.2,Honey,all,conc,winter
2015,2021,-0.0083,-0.0014,-11,-1.9,Honey,post,conc,winter
2009,2015,0.0052,0.00087,22,3.6,Raisin,pre,conc,winter
2009,2021,-0.00019,-1.5e-05,-0.77,-0.064,Raisin,all,conc,winter
2015,2021,-0.0054,-9e-04,-19,-3.1,Raisin,post,conc,winter
