span_start,span_end,unit_change,unit_slope,per_change,per_slope,station,scenario,type,season
2009,2015,18,2.9,2.1,0.34,Maumee,pre,flux,winter
2009,2021,-55,-4.6,-6.4,-0.53,Maumee,all,flux,winter
2015,2021,-73,-12,-8.3,-1.4,Maumee,post,flux,winter
2009,2015,2.9,0.48,8.6,1.4,Tiffin,pre,flux,winter
2009,2021,-2.2,-0.18,-6.4,-0.53,Tiffin,all,flux,winter
2015,2021,-5.1,-0.84,-14,-2.3,Tiffin,post,flux,winter
2009,2015,6.3,1,12,2,Blanchard,pre,flux,winter
2009,2021,12,1,23,2,Blanchard,all,flux,winter
2015,2021,5.9,0.98,10,1.7,Blanchard,post,flux,winter
2009,2015,12,2,6.3,1.1,Sandusky,pre,flux,winter
2009,2021,24,2,13,1.1,Sandusky,all,flux,winter
2015,2021,12,2.1,6.3,1,Sandusky,post,flux,winter
2009,2015,0.86,0.14,2.9,0.48,Honey,pre,flux,winter
2009,2021,-0.55,-0.046,-1.8,-0.15,Honey,all,flux,winter
2015,2021,-1.4,-0.24,-4.6,-0.76,Honey,post,flux,winter
2009,2015,9.6,1.6,24,4,Raisin,pre,flux,winter
2009,2021,2.7,0.22,6.6,0.55,Raisin,all,flux,winter
2015,2021,-7,-1.2,-14,-2.3,Raisin,post,flux,winter
