span_start,span_end,unit_change,unit_slope,per_change,per_slope,station,scenario,type,season
2009,2015,0.0022,0.00037,0.85,0.14,Maumee,pre,conc,winter
2009,2021,0.0066,0.00055,2.5,0.21,Maumee,all,conc,winter
2015,2021,0.0044,0.00073,1.7,0.28,Maumee,post,conc,winter
2009,2015,0.011,0.0018,8.9,1.5,Tiffin,pre,conc,winter
2009,2021,0.0024,2e-04,2,0.17,Tiffin,all,conc,winter
2015,2021,-0.0084,-0.0014,-6.4,-1.1,Tiffin,post,conc,winter
2009,2015,0.072,0.012,34,5.6,Blanchard,pre,conc,winter
2009,2021,0.13,0.011,63,5.3,Blanchard,all,conc,winter
2015,2021,0.063,0.01,22,3.7,Blanchard,post,conc,winter
2009,2015,0.0051,0.00085,2.6,0.44,Sandusky,pre,conc,winter
2009,2021,0.045,0.0037,23,1.9,Sandusky,all,conc,winter
2015,2021,0.04,0.0066,20,3.3,Sandusky,post,conc,winter
2009,2015,0.015,0.0024,7.9,1.3,Honey,pre,conc,winter
2009,2021,0.015,0.0012,7.8,0.65,Honey,all,conc,winter
2015,2021,-7.5e-05,-1.3e-05,-0.037,-0.0062,Honey,post,conc,winter
2009,2015,0.024,0.0039,29,4.8,Raisin,pre,conc,winter
2009,2021,0.016,0.0013,19,1.6,Raisin,all,conc,winter
2015,2021,-0.0078,-0.0013,-7.4,-1.2,Raisin,post,conc,winter
