span_start,span_end,unit_change,unit_slope,per_change,per_slope,station,scenario,type,season
2009,2015,37,6.2,1.2,0.19,Maumee,pre,flux,winter
2009,2021,300,25,9.5,0.79,Maumee,all,flux,winter
2015,2021,263,44,8.2,1.4,Maumee,post,flux,winter
2009,2015,12,2,12,2,Tiffin,pre,flux,winter
2009,2021,16,1.3,16,1.3,Tiffin,all,flux,winter
2015,2021,3.7,0.62,3.5,0.58,Tiffin,post,flux,winter
2009,2015,9.4,1.6,5.4,0.89,Blanchard,pre,flux,winter
2009,2021,32,2.6,18,1.5,Blanchard,all,flux,winter
2015,2021,22,3.7,12,2,Blanchard,post,flux,winter
2009,2015,56,9.4,7.8,1.3,Sandusky,pre,flux,winter
2009,2021,205,17,29,2.4,Sandusky,all,flux,winter
2015,2021,149,25,19,3.2,Sandusky,post,flux,winter
2009,2015,9.6,1.6,10,1.7,Honey,pre,flux,winter
2009,2021,9.9,0.83,11,0.89,Honey,all,flux,winter
2015,2021,0.26,0.043,0.25,0.042,Honey,post,flux,winter
2009,2015,44,7.4,31,5.2,Raisin,pre,flux,winter
2009,2021,50,4.2,36,3,Raisin,all,flux,winter
2015,2021,6.2,1,3.3,0.56,Raisin,post,flux,winter
