"Year","q_cms","conc","fn_conc","flux","fn_flux","station","area","fn_yield"
2008,470.3,0.362,0.261,8003,3194,"Maumee",16388,194.898706370515
2009,195.2,0.234,0.26,2909,3173,"Maumee",16388,193.617280937271
2010,91.6,0.199,0.26,784,3169,"Maumee",16388,193.373199902368
2011,95.9,0.186,0.261,1087,3168,"Maumee",16388,193.312179643642
2012,418.7,0.35,0.261,6250,3183,"Maumee",16388,194.22748352453
2013,172.9,0.234,0.261,2263,3176,"Maumee",16388,193.800341713449
2014,243,0.262,0.262,3605,3184,"Maumee",16388,194.288503783256
2015,82.3,0.199,0.262,613,3210,"Maumee",16388,195.875030510129
2016,165.9,0.232,0.262,2095,3275,"Maumee",16388,199.841347327313
2017,279.3,0.299,0.261,3751,3295,"Maumee",16388,201.061752501831
2018,207.8,0.237,0.262,3194,3332,"Maumee",16388,203.319502074689
2019,342.1,0.344,0.263,4806,3376,"Maumee",16388,206.004393458628
2020,308.2,0.324,0.266,4410,3437,"Maumee",16388,209.726629240908
2021,83.4,0.172,0.267,911,3473,"Maumee",16388,211.92335855504
2022,281.7,0.311,0.269,4226,3523,"Maumee",16388,214.974371491335
2008,30.63,0.1932,0.12,261.49,94.9,"Tiffin",1061,89.4439208294062
2009,15.3,0.1215,0.122,117.63,96.5,"Tiffin",1061,90.951932139491
2010,7.79,0.103,0.124,39.78,98.3,"Tiffin",1061,92.6484448633365
2011,5.45,0.076,0.126,28.41,100.3,"Tiffin",1061,94.5334590009425
2012,28.92,0.2107,0.128,267.06,102.2,"Tiffin",1061,96.3242224316682
2013,5.21,0.0791,0.129,20.76,104.1,"Tiffin",1061,98.114985862394
2014,11.76,0.1205,0.131,84.49,105.9,"Tiffin",1061,99.8114985862394
2015,2.51,0.0625,0.133,6.22,108.4,"Tiffin",1061,102.167766258247
2016,6.48,0.0925,0.133,28.34,110.9,"Tiffin",1061,104.524033930254
2017,19.12,0.1812,0.131,152.7,111.3,"Tiffin",1061,104.901036757776
2018,13.54,0.1069,0.129,125.48,111.7,"Tiffin",1061,105.278039585297
2019,15.44,0.153,0.128,105.31,112,"Tiffin",1061,105.560791705938
2020,19.63,0.1782,0.126,159.58,112.1,"Tiffin",1061,105.655042412818
2021,2.88,0.0516,0.124,6.46,112.1,"Tiffin",1061,105.655042412818
2022,18.17,0.1605,0.122,152.99,111.8,"Tiffin",1061,105.372290292177
2008,25.97,0.271,0.204,434.2,175,"Blanchard",896,195.3125
2009,12.42,0.208,0.213,176.1,175,"Blanchard",896,195.3125
2010,1.66,0.151,0.223,10.5,177,"Blanchard",896,197.544642857143
2011,6.27,0.19,0.233,88.6,179,"Blanchard",896,199.776785714286
2012,23.03,0.301,0.244,322,183,"Blanchard",896,204.241071428571
2013,11.89,0.25,0.254,158.4,183,"Blanchard",896,204.241071428571
