STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-01,,,0.26,,,,70,55,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-02,,,0,,,,78,56,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-03,,,0.07,,,,76,62,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-04,,,0,,,,85,59,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-05,,,0,,,,88,64,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-06,,,0,,,,87,65,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-07,,,0,,,,91,64,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-08,,,0,,,,90,64,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-09,,,0.02,,,,74,59,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-10,,,0.03,,,,61,46,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-11,,,0.12,,,,57,46,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-12,,,0,,,,56,38,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-13,,,0,,,,61,33,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-14,,,0,,,,63,41,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-15,,,0,,,,78,50,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-16,,,0.1,,,,66,60,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-17,,,0,,,,77,55,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-18,,,0.11,,,,79,65,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-19,,,0.03,,,,74,57,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-20,,,0,,,,71,51,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-21,,,0,,,,80,52,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-22,,,0.46,,,,76,50,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-23,,,0.57,,,,60,47,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-24,,,0,,,,52,45,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-25,,,0,,,,62,46,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-26,,,0.03,,,,66,52,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-27,,,0.02,,,,57,40,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-28,,,0,,,,57,32,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-29,,,0,,,,58,32,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-30,,,0,,,,65,35,
USW00014825,"FINDLAY AIRPORT, OH US",2007-10-31,,,0.01,,,,68,38,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-01,,,0,,,,54,33,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-02,,,0,,,,56,30,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-03,,,0,,,,59,29,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-04,,,0,,,,54,31,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-05,,,0.05,,,,61,34,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-06,,,0,,,,42,34,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-07,,,0,,,,42,31,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-08,,,0,,,,50,30,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-09,,,0,,,,52,34,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-10,,,0,,,,49,35,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-11,,,0.41,,,,51,34,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-12,,,0.77,,,,66,51,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-13,,,0.04,,,,58,43,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-14,,,0.01,,,,64,45,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-15,,,0.11,,,,45,35,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-16,,,0,,,,40,32,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-17,,,0.06,,,,45,32,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-18,,,0.01,,,,46,34,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-19,,,0,,,,59,33,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-20,,,0,,,,62,53,
USW00014825,"FINDLAY AIRPORT, OH US",2007-11-21,,,0.86,,,,63,42,
