 


Ranking of the Year (Jan to Dec) Precipitation from 1939 to 2023
 FREMONT (OH)
 USC00332974

Year,Value,Standard,Dense,Ordinal,Days Missing,
1963,18.86,1,1,1,0,
*2023,21.45,2,2,2,0,
1941,25.94,3,3,3,0,
1994,26.45,4,4,4,0,
1960,26.66,5,5,5,0,
1962,27.49,6,6,6,0,
1964,28.52,7,7,7,3,
1958,28.60,8,8,8,0,
1954,28.89,9,9,9,0,
1988,29.21,10,10,10,0,
1976,30.02,11,11,11,0,
1991,30.05,12,12,12,0,
1974,30.47,13,13,13,0,
2004,30.54,14,14,14,0,
1971,30.66,15,15,15,0,
1965,30.74,16,16,16,0,
1999,30.92,17,17,17,0,
1968,31.72,18,18,18,0,
1980,31.73,19,19,19,0,
1956,31.88,20,20,20,0,
2016,31.97,21,21,21,0,
1984,31.98,22,22,22,0,
1989,32.37,23,23,23,0,
1993,32.95,24,24,24,0,
2020,33.01,25,25,25,0,
1967,33.28,26,26,26,0,
2014,33.38,27,27,27,0,
1978,34.12,28,28,28,1,
1949,34.26,29,29,29,1,
1970,34.99,30,30,30,0,
2001,35.04,31,31,31,0,
1957,35.09,32,32,32,0,
1998,35.25,33,33,33,0,
1979,35.29,34,34,34,0,
2022,35.33,35,35,35,0,
1959,35.35,36,36,36,0,
1961,35.44,37,37,37,0,
2009,35.51,38,38,38,0,
1955,35.56,39,39,39,0,
2012,36.24,40,40,40,2,
1975,36.33,41,41,41,0,
2002,36.36,42,42,42,0,
1987,36.53,43,43,43,0,
2010,37.21,44,44,44,0,
1986,37.43,45,45,45,0,
1973,37.67,46,46,46,0,
1966,37.78,47,47,47,0,
1996,37.98,48,48,48,0,
1995,38.03,49,49,49,0,
1985,38.23,50,50,50,0,
1982,38.29,51,51,51,0,
2003,38.33,52,52,52,1,
1977,38.42,53,53,53,1,
2018,39.77,54,54,54,0,
1997,39.96,55,55,55,0,
1981,40.01,56,56,56,0,
1983,40.20,57,57,57,1,
2021,40.55,58,58,58,0,
2000,40.77,59,59,59,0,
2006,41.33,60,60,60,2,
2005,41.65,61,61,61,0,
2019,42.21,62,62,62,0,
1969,42.32,63,63,63,0,
2008,42.91,64,64,64,0,
2017,43.08,65,65,65,0,
2007,43.09,66,66,66,0,
1972,43.28,67,67,67,0,
1992,43.78,68,68,68,1,
2015,43.92,69,69,69,0,
1990,47.57,70,70,70,0,
2013,48.11,71,71,71,3,
1950,50.88,72,72,72,0,
2011,58.10,73,73,73,2,

85 years total,
73 years ranked,
12 years missing: 1939,1940,1942,1943,1944,1945,1946,1947,1948,1951,1952,1953,

* current year

T = Trace

Midwestern Regional Climate Center
cli-MATE: MRCC Application Tools Environment
Generated at: 8/1/2023 10:02:12 AM CDT

