Date,Precip,MaxAirTemp,RecordMaxTemp,RecordMaxYear,MinAirTemp,RecordMinTemp,RecordMinYear,AvgAirTemp,MaxAirTempTime,MinAirTempTime,MaxRel.Hum.,MinRel.Hum.,Avg.Rel.Hum.,HDD,CDD,GDD,GDD Mod. Sine Wave,Solar Radiation (Langleys),AvgWindDir,AvgWindSpeed,MaxWindSpeed,TimeMaxWindSpeed,MaxSoilTemp2",MinSoilTemp2",AvgSoilTemp2",MaxSoilTemp4",MinSoilTemp4",AvgSoilTemp4",Max50cmAirTemp,Min50cmAirTemp,Avg50cmAirTemp,Max300cmAirTemp,Min300cmAirTemp,Avg300cmAirTemp
10/1/2017,0,71.2,85.0,1982,36.2,34.0,1992,52.8,3:50 PM,7:10 AM,97,30,73,12.1,0,2.8,7.5,428.14,61.0813194444444,2.8,9.8,3:30 PM,47.6,41.4,44.1,65.5,58.8,62.2,-,-,-,-,-,-,
10/2/2017,0,79.7,89.0,1954,38.7,29.0,1974,58.3,4:15 PM,7:25 AM,97,26,68,6.6,0,8.3,11.7,430.22,82.0131944444445,2.2,6.1,6:00 PM,48.2,41.0,44.2,66.6,58.7,62.4,-,-,-,-,-,-,
10/3/2017,0,85.9,93.0,1953,49.5,29.0,1996,67.9,4:00 PM,3:50 AM,86,32,59,0,2.8,17.8,17.7,408.66,143.204340277778,4.6,11.3,3:10 PM,48.3,42.0,44.9,67.1,60.4,63.6,-,-,-,-,-,-,
10/4/2017,0.06,79.4,86.0,1971,67.0,30.0,1989,71.7,5:00 PM,3:30 AM,90,64,76,0,6.6,21.6,23.2,218.98,196.550347222222,6.9,12.9,4:50 PM,48.3,45.5,46.8,67.7,64.6,65.9,-,-,-,-,-,-,
10/5/2017,0.01,72.6,86.0,2005,59.0,28.0,1965,64.5,4:40 PM,8:30 AM,97,62,86,0.4,0,14.5,15.7,229.38,194.907256944444,3.7,8.9,5:10 PM,48.4,45.5,46.8,67.7,65.3,66.4,-,-,-,-,-,-,
10/6/2017,0.03,70.4,85.0,1997,62.7,29.0,1999,66.3,4:05 PM,0:40 AM,98,88,95,0,1.3,16.3,16.5,71.2,157.095347222222,3.7,7.5,3:20 PM,70.1,45.4,55.3,66.9,65.4,66.0,-,-,-,-,-,-,
10/7/2017,0.16,83.5,88.0,1963,65.5,26.0,1964,73.2,4:50 PM,2:00 AM,95,51,74,0,8.1,23.1,24.4,301.44,169.141319444445,9.2,18.0,3:25 PM,72.1,67.7,69.7,68.5,65.4,66.8,-,-,-,-,-,-,
10/8/2017,0.05,73.7,88.0,1963,60.1,27.0,1989,66.3,4:15 PM,8:05 AM,96,54,78,0,1.3,16.3,16.9,300.92,173.4434375,6.7,14.0,0:05 AM,72.2,67.0,69.7,68.5,65.2,67.0,-,-,-,-,-,-,
10/9/2017,0.1,79.0,82.0,1997,61.0,30.0,1989,68.1,4:25 PM,11:55 PM,98,52,85,0,3.0,18.0,20.0,287.47,207.166454861111,3.2,8.0,7:45 AM,75.6,69.1,71.3,71.1,66.6,68.2,-,-,-,-,-,-,
10/10/2017,0.01,74.4,82.0,1997,55.2,26.0,1994,63.9,2:40 PM,5:20 AM,99,64,89,1.1,0,13.8,14.7,195.52,54.8561284722222,2.5,9.1,6:30 PM,72.2,66.7,69.5,68.6,65.1,67.0,-,-,-,-,-,-,
10/11/2017,0.22,66.0,83.0,1961,54.6,21.0,1964,61.7,3:05 PM,11:10 PM,98,84,95,3.3,0,11.7,10.3,57.46,123.131184027778,5.4,10.9,6:20 AM,69.7,67.1,68.7,67.4,65.3,66.4,-,-,-,-,-,-,
10/12/2017,0.02,57.8,84.0,1962,54.7,24.0,1988,56.1,4:15 PM,6:50 AM,99,97,98,8.8,0,6.1,6.2,58.3,273.717541666667,4.1,8.7,11:45 AM,67.0,65.2,65.9,65.3,63.5,64.0,-,-,-,-,-,-,
10/13/2017,0,73.3,82.0,1956,55.0,26.0,1988,62.0,5:30 PM,11:50 PM,99,53,86,3.0,0,11.9,14.1,269.47,105.295798611111,1.9,8.6,2:45 PM,70.9,65.0,67.1,67.2,63.1,64.6,-,-,-,-,-,-,
