Date,Precip,MaxAirTemp,RecordMaxTemp,RecordMaxYear,MinAirTemp,RecordMinTemp,RecordMinYear,AvgAirTemp,MaxAirTempTime,MinAirTempTime,MaxRel.Hum.,MinRel.Hum.,Avg.Rel.Hum.,HDD,CDD,GDD,GDD Mod. Sine Wave,Solar Radiation (Langleys),AvgWindDir,AvgWindSpeed,MaxWindSpeed,TimeMaxWindSpeed,MaxSoilTemp2,MinSoilTemp2,AvgSoilTemp2,MaxSoilTemp4,MinSoilTemp4,AvgSoilTemp4,Max50cmAirTemp,Min50cmAirTemp,Avg50cmAirTemp,Max300cmAirTemp,Min300cmAirTemp,Avg300cmAirTemp
10/1/2007,0.51,72,87,1982,58.8,30.8,2003,62.9,4:25 PM,10:25 AM,92,54,72,2.1,0,12.8,15.4,148.42,240.603125,6.2,15.9,10:05 AM,67.3,58.4,61.4,64.8,60.5,62.3,-,-,-,-,-,-
10/2/2007,0.01,78.5,86.1,2005,59.5,27,1974,67.4,6:05 PM,8:00 AM,93,59,80,0,2.4,17.4,19,250.81,260.4340278,6,10,4:25 PM,71.8,60.1,64.9,68.4,61.3,64.4,-,-,-,-,-,-
10/3/2007,0.06,77,88.5,2005,58.3,24,1974,68.6,5:05 PM,11:55 PM,91,54,74,0,3.5,18.5,17.6,256.4,257.9410764,7.1,16.3,8:00 AM,72.6,61.3,65,69.1,62.7,65,-,-,-,-,-,-
10/4/2007,0,86.1,90,1953,55.4,26,1974,69.4,6:20 PM,7:45 AM,93,43,74,0,4.3,19.3,20.7,380.9,149.5872569,2.7,8.4,4:50 PM,78.2,57.7,66.5,72.3,60,65.7,-,-,-,-,-,-
10/5/2007,0,89,86.7,1997,60.4,25,1965,74.3,5:15 PM,6:40 AM,93,49,73,0,9.3,24.3,24.6,368.1,155.8922222,3.2,10.5,12:15 PM,79.8,60.5,69.1,74.4,62.4,68,-,-,-,-,-,-
10/6/2007,0,88.8,88,1963,65.7,24.2,1988,76.4,4:45 PM,6:10 AM,92,51,74,0,11.3,26.3,27.2,343.05,256.2100694,4.3,8.9,4:15 PM,82.7,64.9,71.8,76.5,66.1,70.6,-,-,-,-,-,-
10/7/2007,0,91.3,88,1963,63.9,24,1952,76.6,5:35 PM,7:50 AM,92,48,73,0,11.6,26.6,27.5,348.27,186.8731215,2.1,8.4,3:25 PM,86.7,64.7,73.2,79.6,66.2,71.9,-,-,-,-,-,-
10/8/2007,0,91.1,84,1997,65.3,27,1952,76.3,3:55 PM,5:45 AM,91,43,70,0,11.3,26.3,28.1,347.36,237.9315972,4.4,11.9,4:00 PM,84.2,65.3,72.9,78.2,67,72,-,-,-,-,-,-
10/9/2007,0.04,75,82,1970,59,24.4,1989,67,3:45 PM,8:45 AM,91,41,66,0,1.9,16.9,16.9,403.99,280.9030625,8.6,18.1,4:15 PM,74.4,61,67.3,71.3,64.4,68.3,-,-,-,-,-,-
10/10/2007,0.03,61,83,1961,46.2,28.8,1993,50.8,12:05 AM,11:25 PM,87,58,76,14.2,0,0.7,4.4,152.68,297.9012639,9.8,20,3:45 PM,60.9,51.1,55.7,64.3,55.3,59.1,-,-,-,-,-,-
