date,Qdaily
10/1/2007,5.99
10/2/2007,5.28
10/3/2007,4.15
10/4/2007,3.7
10/5/2007,5.39
10/6/2007,4.66
10/7/2007,4.13
10/8/2007,3.61
10/9/2007,3.09
10/10/2007,2.75
10/11/2007,3.31
10/12/2007,3.37
10/13/2007,2.97
10/14/2007,2.77
10/15/2007,3.18
10/16/2007,3.61
10/17/2007,3.65
10/18/2007,3.63
10/19/2007,5.01
10/20/2007,5.74
10/21/2007,5.84
10/22/2007,6.89
10/23/2007,14.9
10/24/2007,104
10/25/2007,101
10/26/2007,39.8
10/27/2007,23.9
10/28/2007,16.2
10/29/2007,11.8
10/30/2007,9.15
10/31/2007,7.22
11/1/2007,5.55
11/2/2007,4.59
11/3/2007,4.27
11/4/2007,4.11
11/5/2007,3.89
11/6/2007,3.5
11/7/2007,3.52
11/8/2007,3.28
11/9/2007,3.23
11/10/2007,3.12
11/11/2007,3.15
11/12/2007,3.52
11/13/2007,16.3
11/14/2007,97.1
11/15/2007,67.8
11/16/2007,37.2
11/17/2007,25.4
11/18/2007,19
11/19/2007,14.6
11/20/2007,12.1
11/21/2007,11.2
11/22/2007,220
11/23/2007,477
11/24/2007,329
11/25/2007,119
11/26/2007,164
11/27/2007,660
11/28/2007,585
11/29/2007,246
11/30/2007,119
12/1/2007,76.8
12/2/2007,87.7
12/3/2007,570
12/4/2007,560
12/5/2007,243
12/6/2007,114
12/7/2007,74.1
12/8/2007,62.3
12/9/2007,71.2
12/10/2007,208
12/11/2007,476
12/12/2007,1530
12/13/2007,1800
12/14/2007,1260
12/15/2007,727
12/16/2007,536
12/17/2007,606
12/18/2007,421
12/19/2007,254
12/20/2007,201
12/21/2007,172
12/22/2007,434
12/23/2007,1070
12/24/2007,931
12/25/2007,415
12/26/2007,179
12/27/2007,125
12/28/2007,109
12/29/2007,230
12/30/2007,225
12/31/2007,139
1/1/2008,108
1/2/2008,90.7
1/3/2008,65.5
1/4/2008,86.4
1/5/2008,65.9
1/6/2008,211
1/7/2008,298
1/8/2008,244
1/9/2008,1710
1/10/2008,1890
1/11/2008,1060
1/12/2008,606
1/13/2008,345
1/14/2008,232
1/15/2008,176
1/16/2008,130
1/17/2008,107
1/18/2008,132
1/19/2008,131
1/20/2008,75
1/21/2008,85
1/22/2008,50
1/23/2008,42
1/24/2008,35
1/25/2008,32
1/26/2008,29
1/27/2008,27
1/28/2008,25
1/29/2008,23
1/30/2008,35
1/31/2008,55
2/1/2008,33
2/2/2008,45
2/3/2008,55
2/4/2008,45
2/5/2008,750
2/6/2008,3970
2/7/2008,4520
2/8/2008,2370
2/9/2008,1230
2/10/2008,781
2/11/2008,381
2/12/2008,326
2/13/2008,235
2/14/2008,160
2/15/2008,121
2/16/2008,86
2/17/2008,189
2/18/2008,950
2/19/2008,894
2/20/2008,386
2/21/2008,201
2/22/2008,129
2/23/2008,83.1
2/24/2008,61.7
2/25/2008,55
2/26/2008,50
2/27/2008,45
2/28/2008,40
2/29/2008,36
3/1/2008,38
3/2/2008,51.5
3/3/2008,792
3/4/2008,2240
3/5/2008,1820
3/6/2008,1140
3/7/2008,750
3/8/2008,452
3/9/2008,261
3/10/2008,301
3/11/2008,211
3/12/2008,220
3/13/2008,390
3/14/2008,1640
3/15/2008,2530
3/16/2008,1860
3/17/2008,1170
3/18/2008,1170
3/19/2008,3070
3/20/2008,2720
3/21/2008,1400
3/22/2008,702
3/23/2008,444
3/24/2008,335
3/25/2008,259
3/26/2008,208
3/27/2008,193
3/28/2008,1950
3/29/2008,1920
3/30/2008,926
3/31/2008,495
4/1/2008,423
4/2/2008,365
4/3/2008,237
4/4/2008,569
4/5/2008,884
4/6/2008,506
4/7/2008,266
4/8/2008,176
4/9/2008,128
4/10/2008,105
4/11/2008,159
