"date","remark","conc"
2007-10-01,"",0.0723
2007-10-02,"",0.083
2007-10-03,"",0.0803
2007-10-04,"",0.08
2007-10-05,"",0.079
2007-10-06,"",0.0777
2007-10-07,"",0.079
2007-10-08,"",0.0803
2007-10-09,"",0.0767
2007-10-10,"",0.0771
2007-10-11,"",0.077
2007-10-12,"",0.0774
2007-10-13,"",0.0764
2007-10-14,"",0.0779
2007-10-15,"",0.0828
2007-10-16,"",0.0766
2007-10-17,"",0.0756
2007-10-18,"",0.0742
2007-10-19,"",0.0739
2007-10-20,"",0.0732
2007-10-23,"",0.0763
2007-10-24,"",0.0705
2007-10-25,"",0.0705
2007-10-26,"",0.0693
2007-10-27,"",0.0692
2007-10-28,"",0.0702
2007-10-29,"",0.0778
2007-10-30,"",0.0636
2007-10-31,"",0.0605
2007-11-01,"",0.06
2007-11-02,"",0.0596
2007-11-03,"",0.0592
2007-11-04,"",0.0599
2007-11-05,"",0.0674
2007-11-06,"",0.0438
2007-11-07,"",0.042
2007-11-08,"",0.0414
2007-11-09,"",0.0421
2007-11-10,"",0.0406
2007-11-11,"",0.04
2007-11-12,"",0.0416
2007-11-13,"",0.0357
2007-11-14,"",0.0351
2007-11-15,"",0.0375
2007-11-16,"",0.0379
2007-11-17,"",0.0346
2007-11-18,"",0.0341
2007-11-19,"",0.033
2007-11-27,"",0.104
2007-11-28,"",0.1024
2007-11-29,"",0.101
2007-11-30,"",0.1013
2007-12-01,"",0.1005
2007-12-03,"",0.1081
2007-12-04,"",0.07
2007-12-05,"",0.0674
2007-12-06,"",0.0675
2007-12-07,"",0.0672
2007-12-08,"",0.0671
2007-12-09,"",0.2593
2007-12-10,"",0.0664
2007-12-11,"",0.0928
2007-12-12,"",0.0606
2007-12-13,"",0.0866
2007-12-14,"",0.0874
2007-12-17,"",0.0901
2008-08-18,"",0.0655
2008-08-19,"",0.0681
2008-08-20,"",0.0671
2008-08-21,"",0.0627
2008-08-22,"",0.0595
2008-08-23,"",0.0607
2008-08-24,"",0.0686
2008-08-25,"",0.0731
2008-08-26,"",0.0717
2008-08-27,"",0.0666
2008-08-28,"",0.0622
2008-08-29,"",0.0687
2008-08-30,"",0.0585
2008-08-31,"",0.076
2008-09-01,"",0.05
2008-09-02,"",0.046
2008-09-03,"",0.0469
2008-09-05,"",0.0457
2008-09-06,"",0.0478
2008-09-07,"",0.0519
2008-09-08,"",0.0491
2008-09-09,"",0.0495
2008-09-10,"",0.0336
2008-09-11,"",0.0989
2008-09-12,"",0.0977
2008-09-13,"",0.0986
2008-09-14,"",0.1102
2008-09-15,"",0.215
2008-09-16,"",0.1454
2008-09-17,"",0.1434
2008-09-18,"",0.3065
2008-09-19,"",0.1102
2008-09-20,"",0.1067
2008-09-21,"",0.1034
2008-09-22,"",0.0975
2008-09-23,"",0.0902
2008-09-24,"",0.0841
2008-09-25,"",0.0815
2008-09-26,"",0.0708
2008-09-27,"",0.0681
2008-09-28,"",0.0736
2008-09-29,"",0.0702
2008-09-30,"",0.0625
2008-10-01,"",0.062
2008-10-02,"",0.0575
2008-10-03,"",0.06
2008-10-04,"",0.0467
2008-10-05,"",0.0533
2008-10-06,"",0.0392
2008-10-07,"",0.035
2008-10-08,"",0.0331
2008-10-09,"",0.039
2008-10-10,"",0.0344
2008-10-11,"",0.0373
2008-10-12,"",0.0364
2008-10-13,"",0.0524
2008-10-14,"",0.0452
2008-10-15,"",0.0462
2008-10-16,"",0.0438
2008-10-17,"",0.0369
2008-10-18,"",0.0437
2008-10-19,"",0.0393
2008-10-20,"",0.0394
2008-10-21,"",0.0345
2008-10-22,"",0.0323
2008-10-23,"",0.0318
2008-10-24,"",0.0365
2008-10-25,"",0.0365
2008-10-26,"",0.0461
2008-10-27,"",0.0298
2008-10-28,"",0.033
2008-10-29,"",0.0235
2008-10-30,"",0.0171
2008-10-31,"",0.0177
2008-11-01,"",0.1064
2008-11-02,"",0.0301
2008-11-03,"",0.0352
2008-11-04,"",0.0355
2008-11-05,"",0.0326
2008-11-06,"",0.031
2008-11-07,"",0.0321
2008-11-08,"",0.0341
2008-11-09,"",0.0441
2008-11-10,"",0.0283
2008-11-11,"",0.0244
2008-11-12,"",0.0475
2008-11-13,"",0.0256
2008-11-14,"",0.0485
2008-11-15,"",0.0508
2008-11-16,"",0.1205
2008-11-17,"",0.1263
2008-11-18,"",0.0702
2008-11-19,"",0.0563
2008-11-20,"",0.052
2008-11-21,"",0.0439
2008-11-22,"",0.0392
2008-11-24,"",0.0381
2008-11-25,"",0.0343
2008-11-26,"",0.0323
2008-11-27,"",0.0366
2008-11-28,"",0.0252
2008-11-29,"",0.0249
2008-11-30,"",0.0249
2008-12-01,"",0.0445
2008-12-02,"",0.0315
2008-12-03,"",0.0297
2008-12-04,"",0.0421
2008-12-05,"",0.0303
2008-12-06,"",0.032
2008-12-07,"",0.0395
2008-12-08,"",0.0371
2008-12-09,"",0.0268
2008-12-10,"",0.0784
2008-12-11,"",0.1215
2008-12-12,"",0.0814
2008-12-13,"",0.0678
2008-12-15,"",0.0423
2008-12-16,"",0.0353
2008-12-17,"",0.038
2008-12-18,"",0.037
2008-12-19,"",0.0354
2008-12-20,"",0.0379
2008-12-21,"",0.0461
2009-01-05,"",0.0552
2009-01-06,"",0.0501
2009-01-07,"",0.0527
2009-01-08,"",0.05
2009-01-09,"",0.0463
2009-01-10,"",0.0438
2009-01-11,"",0.0478
2009-01-12,"",0.0439
2009-01-13,"",0.0397
2009-01-14,"",0.0354
2009-01-22,"",0.0419
2009-01-23,"",0.0395
2009-01-24,"",0.0355
2009-01-25,"",0.0508
2009-01-26,"",0.0341
2009-01-27,"",0.03
2009-01-28,"",0.0426
2009-01-29,"",0.0417
2009-01-30,"",0.0373
2009-01-31,"",0.0421
2009-02-01,"",0.0528
2009-02-02,"",0.0382
2009-02-03,"",0.0402
2009-02-04,"",0.0378
2009-02-05,"",0.0419
2009-02-06,"",0.0427
2009-02-07,"",0.0499
2009-02-08,"",0.0596
2009-02-09,"",0.1008
2009-02-10,"",0.1039
2009-02-11,"",0.2396
2009-02-12,"",0.21
2009-02-13,"",0.2093
2009-02-14,"",0.2196
2009-02-15,"",0.2134
2009-02-16,"",0.1274
2009-02-17,"",0.1037
2009-02-18,"",0.1636
2009-02-19,"",0.1972
2009-02-20,"",0.1135
2009-02-21,"",0.1117
2009-02-22,"",0.1168
2009-02-23,"",0.062
2009-02-24,"",0.0579
2009-02-25,"",0.1623
2009-02-26,"",0.156
2009-02-27,"",0.1604
2009-02-28,"",0.1569
2009-03-01,"",0.1601
2009-03-02,"",0.1648
2009-03-03,"",0.1355
2009-03-04,"",0.1154
