"date","remark","conc"
2007-10-01,"",0.0608508474576271
2007-10-02,"",0.0572
2007-10-03,"",0.0523
2007-10-04,"",0.0556
2007-10-05,"",0.057
2007-10-06,"",0.051
2007-10-07,"",0.056
2007-10-08,"",0.0605
2007-10-09,"",0.1493
2007-10-10,"",0.0629
2007-10-11,"",0.0617
2007-10-12,"",0.0589
2007-10-13,"",0.0542
2007-10-14,"",0.0522
2007-10-15,"",0.0464333333333333
2007-10-16,"",0.0466
2007-10-17,"",0.052
2007-10-18,"",0.0492
2007-10-19,"",0.0525
2007-10-20,"",0.0527
2007-10-21,"",0.0525
2007-10-22,"",0.0573666666666667
2007-10-23,"",0.0608
2007-10-24,"",0.0668
2007-10-25,"",0.1177
2007-10-26,"",0.1126
2007-10-27,"",0.1098
2007-10-28,"",0.1091
2007-10-29,"",0.121051041080473
2007-10-30,"",0.1124
2007-10-31,"",0.0991
2007-11-01,"",0.0928
2007-11-02,"",0.0827
2007-11-03,"",0.0723
2007-11-04,"",0.061
2007-11-05,"",0.0552
2007-11-06,"",0.0484
2007-11-07,"",0.0449
2007-11-08,"",0.0398
2007-11-09,"",0.0332
2007-11-10,"",0.0278
2007-11-11,"",0.025
2007-11-12,"",0.0248074217449217
2007-11-13,"",0.0458
2007-11-14,"",0.068
2007-11-15,"",0.0823
2007-11-16,"",0.0848
2007-11-17,"",0.0748
2007-11-18,"",0.0722
2007-11-19,"",0.0855982529434106
2007-11-20,"",0.0726
2007-11-21,"",0.0692
2007-11-22,"",0.3549
2007-11-23,"",0.313638578199052
2007-11-24,"",0.379003712995484
2007-11-25,"",0.366269991095281
2007-11-26,"",0.300576394052045
2007-11-27,"",0.3782
2007-11-28,"",0.369438050860843
2007-11-29,"",0.332913321167883
2007-11-30,"",0.278
2007-12-02,"",0.296160428786195
2007-12-03,"",0.479779098552078
2007-12-04,"",0.496012511347693
2007-12-05,"",0.44412493694484
2007-12-06,"",0.391908844953174
2007-12-07,"",0.2992
2007-12-08,"",0.2201
2007-12-09,"",0.1685
2007-12-10,"",0.158634115366961
2007-12-11,"",0.1868
2007-12-12,"",0.5675
2007-12-13,"",0.553674647887324
2007-12-14,"",0.504929139883685
2007-12-15,"",0.454518845136854
2007-12-16,"",0.370323938673524
2007-12-17,"",0.28825045553702
2007-12-18,"",0.2432
2007-12-19,"",0.2101
2007-12-20,"",0.1761
2007-12-21,"",0.1515
2007-12-22,"",0.1487
2007-12-23,"",0.3546
2007-12-24,"",0.5216
2007-12-25,"",0.2416
2007-12-26,"",0.4197
2007-12-27,"",0.3287
2007-12-28,"",0.2434
2007-12-29,"",0.1742
2007-12-30,"",0.1707
2007-12-31,"",0.1883
2008-01-01,"",0.1623
2008-01-02,"",0.132716193181818
2008-01-03,"",0.1114
2008-01-04,"",0.0919
2008-01-05,"",0.0854
2008-01-06,"",0.1197
2008-01-07,"",0.161125327510917
2008-01-08,"",0.233960446247465
2008-01-09,"",0.871975696926376
2008-01-10,"",1.01519487179487
2008-01-11,"",0.845004419889503
2008-01-12,"",0.7923
2008-01-14,"",0.398017520215633
2008-01-15,"",0.294805065666041
2008-01-16,"",0.243066083916084
2008-01-17,"",0.1884
2008-01-18,"",0.1552
2008-01-19,"",0.1323
2008-01-20,"",0.1166
2008-01-22,"",0.1049
2008-01-23,"",0.0897
2008-01-24,"",0.0785
2008-01-25,"",0.0745
2008-01-26,"",0.0629
2008-01-27,"",0.0583
2008-01-28,"",0.0566468844984802
2008-01-29,"",0.054
2008-01-30,"",0.0541
2008-01-31,"",0.0552
2008-02-01,"",0.0631
2008-02-02,"",0.0556
2008-02-03,"",0.0628
2008-02-04,"",0.066517697228145
2008-02-05,"",1.0990654239633
2008-02-06,"",1.12825022583559
2008-02-07,"",0.903067468619247
2008-02-08,"",0.798931507577772
2008-02-09,"",0.656522195343211
2008-02-10,"",0.513356339712919
