"date","remark","conc"
2007-10-01,"",29.7561349236281
2007-10-02,"",25.049
2007-10-03,"",26.735
2007-10-04,"",35.439
2007-10-05,"",26.302
2007-10-06,"",21.718
2007-10-07,"",27.477
2007-10-08,"",22.7734140983607
2007-10-09,"",21.673
2007-10-10,"",26.215
2007-10-11,"",20.696
2007-10-12,"",18.343
2007-10-13,"",21.805
2007-10-14,"",20.448
2007-10-15,"",15.3401049794962
2007-10-16,"",14.756
2007-10-17,"",22.471
2007-10-18,"",32.753
2007-10-19,"",36.409
2007-10-20,"",33.07
2007-10-21,"",31.157
2007-10-22,"",31.104
2007-10-23,"",35.3
2007-10-24,"",28.613
2007-10-25,"",23.561
2007-10-26,"",28.453
2007-10-27,"",23.904
2007-10-28,"",29.747
2007-10-29,"",16.4748899977822
2007-10-30,"",18.5
2007-10-31,"",16.066
2007-11-01,"",77.461
2007-11-02,"",59.213
2007-11-03,"",29.211
2007-11-04,"",20.038
2007-11-05,"",22.5513661510464
2007-11-06,"",28.515
2007-11-07,"",18.971
2007-11-08,"",15.812
2007-11-09,"",16.9
2007-11-10,"",22.222
2007-11-11,"",27.112
2007-11-12,"",28.9498484264611
2007-11-13,"",32.94
2007-11-14,"",26.868
2007-11-15,"",34.818
2007-11-16,"",30.867
2007-11-17,"",24.451
2007-11-18,"",23.146
2007-11-19,"",15.0905120056497
2007-11-20,"",12.345
2007-11-21,"",10.918
2007-11-22,"",17.224
2007-11-23,"",169.149671128107
2007-11-24,"",198.910350931199
2007-11-25,"",147.594548571429
2007-11-26,"",74.1558151658768
2007-11-27,"",103.97
2007-11-28,"",136.13
2007-11-29,"",101.75
2007-11-30,"",99.25
2007-12-01,"",104.95
2007-12-02,"",53.37
2007-12-03,"",78.0290165190657
2007-12-04,"",97.713
2007-12-05,"",84.923
2007-12-06,"",132.48
2007-12-07,"",92.955
2007-12-08,"",58.222
2007-12-09,"",54.446
2007-12-10,"",59.4978045932769
2007-12-11,"",76.7580949033392
2007-12-12,"",189.85520514088
2007-12-13,"",213.406518644822
2007-12-14,"",170.582526923677
2007-12-15,"",118.38859980687
2007-12-17,"",65.3996459107807
2007-12-18,"",71.364
2007-12-19,"",57.31
2007-12-20,"",44.444
2007-12-21,"",39.275
2007-12-22,"",35.067
2007-12-23,"",29.922
2007-12-24,"",193.13
2007-12-25,"",173.52
2007-12-26,"",130.27
2007-12-27,"",108.1
2007-12-28,"",96.282
2007-12-29,"",85.977
2007-12-30,"",69.101
2007-12-31,"",63.888
2008-01-01,"",51.168
2008-01-02,"",55.128
2008-01-03,"",37.844
2008-01-04,"",33.914
2008-01-05,"",34.078
2008-01-06,"",24.128
2008-01-07,"",31.3606499210111
2008-01-08,"",117.391756097561
2008-01-09,"",353.699373881932
2008-01-10,"",441.080100937275
2008-01-11,"",360.598707224335
2008-01-12,"",246.417401709402
2008-01-13,"",159.935363128492
2008-01-14,"",121.294143763214
2008-01-15,"",105.35
2008-01-16,"",117.2
2008-01-17,"",99
2008-01-18,"",68.1
2008-01-19,"",61.9
2008-01-20,"",42.2
2008-01-21,"",29.4269165247019
2008-01-22,"",53.254
2008-01-23,"",23.832
2008-01-24,"",22.321
2008-01-25,"",16.152
2008-01-26,"",13.111
2008-01-27,"",11.916
2008-01-28,"",9.36743437733035
2008-01-29,"",9.6889
2008-01-30,"",7.8316
2008-01-31,"",25.785
2008-02-01,"",10.243
2008-02-02,"",11.77
2008-02-03,"",8.4915
2008-02-04,"",6.10287695473251
2008-02-05,"",449.818641077441
2008-02-06,"",570.994652867615
2008-02-07,"",355.378532534179
2008-02-08,"",338.02999471924
2008-02-09,"",269.939699776429
2008-02-10,"",189.486309840126
2008-02-11,"",149.200377368505
2008-02-12,"",127.64170533108
2008-02-13,"",115.11
2008-02-14,"",77.788
2008-02-15,"",62
2008-02-16,"",52.123
2008-02-17,"",65.903695566889
2008-02-18,"",306.303420026008
2008-02-19,"",293.260013986014
2008-02-20,"",233.249845094664
2008-02-21,"",168.098
2008-02-22,"",99.243
2008-02-23,"",70.729
2008-02-24,"",51.03
2008-02-25,"",82.8580373259053
2008-02-26,"",32.273
2008-02-27,"",28.395
2008-02-28,"",22.541
2008-02-29,"",19.98
2008-03-01,"",22.783
2008-03-02,"",25.399
2008-03-03,"",101.415634328358
2008-03-04,"",263.945350593312
2008-03-05,"",232.590914572864
2008-03-06,"",167.741478953356
2008-03-07,"",215.57
2008-03-08,"",122.56
2008-03-09,"",72.866
2008-03-10,"",58.0133907563025
2008-03-11,"",63.336
2008-03-12,"",44.198
2008-03-13,"",136.315652173913
2008-03-14,"",210.061282316443
2008-03-15,"",166.625994263862
2008-03-16,"",143.376598290598
2008-03-17,"",106.786249653259
2008-03-18,"",88.733
2008-03-19,"",274.695868725869
2008-03-20,"",245.565806451613
2008-03-21,"",275.950704761905
2008-03-22,"",233.617554858934
2008-03-23,"",147.77
2008-03-24,"",135.363313508921
2008-03-25,"",121.92
2008-03-26,"",75.897
2008-03-27,"",72.6075
2008-03-28,"",297.660384615385
2008-03-29,"",386.963859275053
2008-03-30,"",318.475873388042
2008-03-31,"",261.266414724461
2008-04-01,"",255.864568644311
2008-04-02,"",269.373659806596
2008-04-03,"",242.151452599388
2008-04-04,"",157.452903225806
2008-04-05,"",150.784172760512
2008-04-06,"",98.36
2008-04-07,"",87.0850515055468
2008-04-08,"",106.02
2008-04-09,"",80
2008-04-10,"",82.191
2008-04-11,"",85.129
2008-04-12,"",207.646901333333
