"date","remark","conc"
2010-10-01,"",8.7489
2010-10-02,"",16.038
2010-10-03,"",14.308
2010-10-04,"",11.7367549381541
2010-10-05,"",8.2539
2010-10-06,"",7.7121
2010-10-07,"",9.0646
2010-10-08,"",12.802
2010-10-09,"",15.159
2010-10-10,"",15.416
2010-10-11,"",11.4150145171538
2010-10-12,"",18.698
2010-10-13,"",14.83
2010-10-14,"",15.588
2010-10-15,"",6.338
2010-10-16,"",16.068
2010-10-17,"",11.52
2010-10-18,"",8.69941715895841
2010-10-19,"",6.2166
2010-10-20,"",9.7009
2010-10-21,"",11.372
2010-10-22,"",8.0142
2010-10-23,"",9.769
2010-10-24,"",13.04
2010-10-25,"",14.828
2010-10-26,"",28.2471987618117
2010-10-27,"",15.292
2010-10-28,"",10.233
2010-10-29,"",8.1864
2010-10-30,"",9.5011
2010-10-31,"",3.2715
2010-11-01,"",5.01113643041493
2010-11-02,"",6.4672
2010-11-03,"",4.305
2010-11-04,"",5.9777
2010-11-05,"",3.4083
2010-11-06,"",4.2229
2010-11-07,"",4.9587
2010-11-08,"",2.70194219789842
2010-11-09,"",3.1928
2010-11-10,"",4.4529
2010-11-11,"",5.7042
2010-11-12,"",4.4793
2010-11-13,"",4.4395
2010-11-14,"",4.6367
2010-11-15,"",2.9557
2010-11-16,"",3.7341
2010-11-17,"",4.9301
2010-11-18,"",3.9332
2010-11-19,"",6.4755
2010-11-20,"",4.2643
2010-11-21,"",1.4825
2010-11-22,"",6.44034785051614
2010-11-23,"",5.6089
2010-11-24,"",1.7589
2010-11-25,"",10.309
2010-11-26,"",33.4182835771277
2010-11-27,"",28.2905923234582
2010-11-28,"",15.3418192771084
2010-11-29,"",8.59584610180412
2010-11-30,"",12.28
2010-12-01,"",18.5660612525809
2010-12-02,"",29.7475842137974
2010-12-03,"",19.218
2010-12-04,"",7.2045
2010-12-05,"",3.8119
2010-12-06,"",4.51985294117647
2010-12-07,"",3.765
2010-12-09,"",1.622
2010-12-10,"",2.8964
2010-12-11,"",2.1962
2010-12-12,"",6.4397
2010-12-13,"",3.06180676137057
2010-12-14,"",8.9285
2010-12-15,"",10.476
2010-12-16,"",8.1799
2010-12-17,"",8.6207
2010-12-18,"",7.4389
2010-12-19,"",5.6232
2010-12-20,"",3.8424
2010-12-21,"",3.0394
2010-12-22,"",4.171
2010-12-23,"",6.4635
2010-12-24,"",9.5643
2010-12-25,"",2.2296
2010-12-26,"",4.0941
2010-12-27,"",4.7846
2010-12-28,"",6.1287
2010-12-29,"",4.1237
2010-12-30,"",5.7803
2010-12-31,"",12.208
2011-01-02,"",114.03
2011-01-03,"",53.77546704829
2011-01-04,"",32.7612906232864
2011-01-19,"",3.1847
2011-01-20,"",2.6525
2011-01-21,"",3.4188
2011-01-22,"",3.673
2011-01-24,"",30.1493357907961
2011-01-25,"",5.2278
2011-01-26,"",4.49
2011-01-27,"",4.8569
2011-01-28,"",25.96
2011-01-29,"",5.7637
2011-01-30,"",13.157
2011-01-31,"",13.6538186833726
2011-02-01,"",9.8279
2011-02-02,"",9.2105
2011-02-03,"",13.322
2011-02-04,"",19.392
2011-02-05,"",13.858
2011-02-06,"",15.593
2011-02-07,"",9.5421
2011-02-08,"",21.121
2011-02-09,"",30.603
2011-02-10,"",3.3783
2011-02-11,"",2.2831
2011-02-12,"",2.7367
2011-02-13,"",5.305
2011-02-14,"",10.0777600631257
2011-02-15,"",15.767
2011-02-16,"",21.116
2011-02-17,"",106.770232471291
2011-02-18,"",219.157965449254
2011-02-19,"",100.726517820898
2011-02-20,"",52.8268350555664
2011-02-23,"",41.981
2011-02-24,"",16.52
2011-02-25,"",16.815
2011-02-26,"",15.29
2011-02-27,"",12.808
2011-02-28,"",220.485938672899
2011-03-01,"",324.143244784037
2011-03-02,"",130.213980334317
2011-03-03,"",66.0348870670905
2011-03-04,"",40.7
2011-03-05,"",116.548698231603
2011-03-06,"",134.975680623174
2011-03-07,"",64.1331973931294
2011-03-08,"",64.3139560381356
2011-03-09,"",85.2768609865471
2011-03-10,"",148.066210971812
2011-03-11,"",90.9736334307894
2011-03-12,"",63.3086995846793
2011-03-13,"",47.675
2011-03-14,"",38.6568291763862
2011-03-15,"",30.154
2011-03-16,"",76.211132115548
2011-03-17,"",121.091698670606
2011-03-18,"",58.671
2011-03-19,"",45.539
2011-03-20,"",35.046
2011-03-21,"",23.0457591093117
2011-03-22,"",22.14
2011-03-23,"",11.463
2011-03-24,"",20.527
2011-03-25,"",23.776
2011-03-26,"",14.809
2011-03-27,"",6.0605
2011-03-28,"",9.12304180911681
2011-03-29,"",3.6257
2011-03-30,"",6.7365
2011-03-31,"",4.8741
2011-04-01,"",6.1967
2011-04-02,"",5.3811
2011-04-03,"",5.0462
2011-04-04,"",10.910755420957
2011-04-06,"",114.57906238309
2011-04-07,"",53.2402379562044
2011-04-08,"",111.052457237621
2011-04-09,"",102.723670863309
2011-04-10,"",60.0206543145077
2011-04-11,"",44.5619326562155
2011-04-12,"",30.913
2011-04-13,"",17.781
2011-04-14,"",14.232
2011-04-15,"",12.417
2011-04-16,"",13.361
2011-04-17,"",14.609
2011-04-18,"",23.7174039582188
2011-04-19,"",32.838
2011-04-22,"",68.7686808244847
2011-04-23,"",121.261735397267
2011-04-24,"",99.2138564490016
2011-04-25,"",107.138350193299
2011-04-26,"",188.640890021564
2011-04-27,"",120.630112385587
2011-04-28,"",174.03606063477
2011-04-29,"",91.8677936687394
2011-04-30,"",49.56
2011-05-01,"",34.543
2011-05-02,"",24.8626631554843
2011-05-03,"",37.5162809421842
2011-05-04,"",97.6249724859995
2011-05-05,"",64.6079815084613
2011-05-06,"",34.188
2011-05-07,"",25.389
2011-05-08,"",21.032
2011-05-09,"",25.7163374411018
2011-05-10,"",14.361
2011-05-11,"",215.117224639652
2011-05-12,"",142.680262182203
2011-05-13,"",68.5661811641596
2011-05-14,"",177.72042437276
2011-05-15,"",361.675764344548
2011-05-16,"",152.169505842495
2011-05-17,"",79.395972269065
2011-05-18,"",60.0951392097264
2011-05-19,"",137.709317343173
2011-05-20,"",80.3804635507499
2011-05-21,"",51.625
2011-05-22,"",35.923
2011-05-23,"",30.3991783055199
2011-05-24,"",99.8272308303823
2011-05-25,"",290.691472649894
2011-05-26,"",448.162139543183
2011-05-27,"",227.628239122987
2011-05-28,"",116.59172009629
2011-05-29,"",192.596250653947
2011-05-30,"",208.322378480415
2011-05-31,"",78.9366581764489
2011-06-01,"",48.6493889799263
2011-06-02,"",38.876
2011-06-06,"",16.9281971123666
2011-06-07,"",10.638
2011-06-08,"",11.807
2011-06-09,"",10.387
2011-06-10,"",18.45
2011-06-11,"",9.6077
2011-06-12,"",6.1813
2011-06-13,"",5.05721765935214
2011-06-14,"",8.112
2011-06-15,"",9.0634
2011-06-16,"",42.883
2011-06-17,"",9.5643
2011-06-18,"",4.1597
2011-06-19,"",8.8321
2011-06-20,"",58.7466948231551
2011-06-21,"",64.9623285984848
2011-06-22,"",43.8933733817493
2011-06-23,"",31.531
2011-06-24,"",41.58
2011-06-25,"",47.722
2011-06-26,"",22.293
2011-06-27,"",17.7877259989621
2011-06-28,"",12.135
2011-06-29,"",10.638
2011-06-30,"",11.447
2011-07-01,"",11.477
2011-07-02,"",12.3
2011-07-03,"",10.165
2011-07-04,"",10.483
2011-07-05,"",14.5615996430696
2011-07-06,"",15.884
2011-07-07,"",17.521
2011-07-08,"",12.056
2011-07-09,"",12.772
2011-07-10,"",9.7323
2011-07-11,"",18.5649784629687
2011-07-12,"",38.382
2011-07-13,"",40.239
2011-07-14,"",21.103
2011-07-15,"",19.002
2011-07-16,"",16.331
2011-07-17,"",13.333
2011-07-18,"",19.9416557299097
2011-07-19,"",482.965017661353
2011-07-20,"",177.396012526096
2011-07-21,"",43.945
2011-07-22,"",111.288764556962
2011-07-23,"",81.1164492753623
2011-07-24,"",174.149825806452
2011-07-25,"",69.2725567322239
2011-07-26,"",39.8518394648829
2011-07-27,"",23.7
2011-07-28,"",20.1
2011-08-01,"",104.869535484983
2011-08-02,"",43.4110789111905
2011-08-03,"",122.902757166948
2011-08-04,"",12.482
2011-08-05,"",14.438
2011-08-06,"",12.641
2011-08-07,"",65.7061798104513
2011-08-08,"",52.2971888516129
2011-08-09,"",20.844
2011-08-15,"",6.0517
2011-08-16,"",14.658
2011-08-17,"",13.04
2011-08-18,"",15.566
2011-08-19,"",12.82
2011-08-20,"",14.948
2011-08-21,"",17.667
2011-08-22,"",13.9333335027315
2011-08-23,"",20.509
2011-08-24,"",50.906
2011-08-25,"",101.160043484937
2011-08-26,"",64.6871807613242
2011-08-27,"",34.602
2011-08-28,"",17.123
2011-08-29,"",10.2471754365875
2011-08-30,"",20.668
2011-08-31,"",14.347
2011-09-01,"",23.921
2011-09-02,"",18.581
2011-09-03,"",18.606
2011-09-04,"",22.622
2011-09-05,"",9.35690245110176
2011-09-06,"",19.586
2011-09-07,"",17.102
2011-09-08,"",109.670685026193
2011-09-09,"",113.144820387217
2011-09-10,"",63.5463617606602
2011-09-11,"",40.422
2011-09-12,"",114.580656565657
2011-09-13,"",41.877
2011-09-14,"",21.293
2011-09-15,"",10.494
2011-09-16,"",11.533
2011-09-17,"",9.702
2011-09-21,"",23.076
2011-09-22,"",15.535
2011-09-23,"",17.441
2011-09-24,"",80.706645340751
2011-09-25,"",50.8427597650915
2011-09-26,"",157.68046007836
2011-09-27,"",116.584027904
2011-09-28,"",53.9124707935769
2011-09-29,"",43.0914783643444
2011-09-30,"",71.686667115903
2011-10-01,"",59.0878886462882
2011-10-02,"",35.781
2011-10-03,"",32.2587735206079
2011-10-06,"",18.211
2011-10-07,"",12.588
2011-10-08,"",9.6931
2011-10-09,"",9.8522
2011-10-10,"",6.72302301484829
2011-10-11,"",2.5265
2011-10-12,"",3.5842
2011-10-13,"",4.4335
2011-10-14,"",2.994
2011-10-15,"",1.3717
2011-10-16,"",2.5284
2011-10-17,"",2.81593778696706
2011-10-18,"",4.8886
2011-10-19,"",94.4291086522373
2011-10-20,"",106.844853652538
2011-10-21,"",59.4230422436048
2011-10-22,"",41.5919937627943
2011-10-23,"",24.286
2011-10-24,"",19.3959639800285
2011-10-25,"",20.27
2011-10-26,"",20.746
2011-10-27,"",32.185
2011-10-28,"",52.032
2011-10-29,"",34.356
2011-10-30,"",17.241
2011-10-31,"",10.8333527744467
2011-11-01,"",8.8408
2011-11-02,"",5.8082
2011-11-03,"",3.9331
2011-11-04,"",6.2402
2011-11-05,"",5.3619
2011-11-06,"",7.0422
2011-11-07,"",3.3906976744186
2011-11-08,"",4.6985
2011-11-09,"",23.195
2011-11-10,"",4.89
2011-11-11,"",3.7986
2011-11-12,"",0.95323
2011-11-13,"",3.112
2011-11-14,"",97.491989870457
2011-11-15,"",158.137882259814
2011-11-16,"",84.2358698497694
2011-11-17,"",45.563
2011-11-18,"",22.418
2011-11-19,"",12.804
2011-11-20,"",11.1881656261044
2011-11-21,"",5.4764
2011-11-22,"",76.5060469699662
2011-11-23,"",178.840005534034
2011-11-24,"",97.6973863720988
2011-11-25,"",59.5433586916575
2011-11-26,"",35.41
2011-11-27,"",39.3906190417841
2011-11-28,"",92.4232437548146
2011-11-29,"",98.0581776828176
2011-11-30,"",99.4822059334006
2011-12-02,"",40.55
2011-12-03,"",27.58
2011-12-04,"",16.074
2011-12-05,"",115.036284860558
2011-12-06,"",103.587825359963
2011-12-07,"",69.3222263569305
2011-12-08,"",48.7552497760258
2011-12-09,"",29.285
2011-12-10,"",18.867
2011-12-11,"",12.461
2011-12-12,"",9.9891277088251
2011-12-13,"",7.4812
2011-12-14,"",6.7195
2011-12-15,"",111
2011-12-16,"",196.7
2011-12-17,"",100.61
2011-12-18,"",51.03
2011-12-19,"",31.442
2011-12-20,"",20.735
2011-12-21,"",147.6
2011-12-22,"",313.84
2011-12-23,"",98.63
2011-12-24,"",65.509
2011-12-25,"",42.219
2011-12-26,"",12.884
2011-12-27,"",16.225
2011-12-28,"",41.387
2011-12-29,"",58.345
2011-12-30,"",34.458
2011-12-31,"",40.478
2012-01-01,"",70.872
2012-01-02,"",41.898726308218
2012-01-03,"",25.849
2012-01-04,"",16.269
2012-01-05,"",14.547
2012-01-06,"",12.394
2012-01-07,"",8.1883
2012-01-08,"",8.0808
2012-01-09,"",6.37335781683626
2012-01-10,"",5.6298
2012-01-11,"",4.1869
2012-01-12,"",5.9484
2012-01-13,"",19.725
2012-01-14,"",20.925
2012-01-15,"",11.134
2012-01-16,"",11.0444694520548
2012-01-17,"",250.768310408067
2012-01-18,"",413.726402100062
2012-01-19,"",166.010258648561
2012-01-23,"",239.369347888209
2012-01-24,"",184.150681360709
2012-01-25,"",78.6499090407938
2012-01-26,"",43.043
2012-01-27,"",78.8379332856725
2012-01-28,"",90.1507303370786
2012-01-29,"",48.707
2012-01-30,"",37.8210962399077
2012-01-31,"",23.571
2012-02-01,"",19.747
2012-02-02,"",20.408
2012-02-03,"",19.08
2012-02-04,"",15.637
2012-02-05,"",14.1
2012-02-06,"",24.8332272197019
2012-02-07,"",29.411
2012-02-08,"",17.918
2012-02-09,"",13.614
2012-02-10,"",10.416
2012-02-11,"",8.8105
2012-02-12,"",8.1669
2012-02-13,"",4.79585049056604
2012-02-14,"",2.9703
2012-02-15,"",4.1609
2012-02-16,"",5.1194
2012-02-17,"",13.527
2012-02-18,"",18.699
2012-02-19,"",13.188
2012-02-20,"",11.2368757028707
2012-02-21,"",10.945
2012-02-22,"",8
2012-02-23,"",6.66795791788856
2012-02-24,"",152.409688423989
2012-02-25,"",281.349185979062
2012-02-26,"",109.973199142157
2012-02-27,"",56.4184040995608
2012-02-28,"",28.662
2012-02-29,"",158.703693693694
2012-03-01,"",238.512142738313
2012-03-02,"",154.705823065208
2012-03-03,"",461.686503322259
2012-03-04,"",215.487962962963
2012-03-05,"",93.6323235928613
2012-03-06,"",44.961
2012-03-07,"",32.561
2012-03-08,"",27.753
2012-03-09,"",24.33
2012-03-10,"",18.169
2012-03-11,"",11.921
2012-03-12,"",10.5309996965099
2012-03-13,"",143.34
2012-03-14,"",174.33
2012-03-15,"",69.405551417834
2012-03-16,"",379.355309683177
2012-03-17,"",259.121207419899
2012-03-18,"",231.077388965406
2012-03-19,"",398.328024509804
2012-03-20,"",161.789987184964
2012-03-21,"",69.0710012267788
2012-03-22,"",38.426
2012-03-23,"",31.999
2012-03-24,"",32.334
2012-03-25,"",53.698
2012-03-26,"",39.0078063687725
2012-03-27,"",21.978
2012-03-28,"",23.111
2012-03-29,"",14.285
2012-03-30,"",6.5237
2012-03-31,"",4.1322
2012-04-01,"",4.17
2012-04-02,"",6.73768822012038
2012-04-03,"",24.096
2012-04-04,"",12.121
2012-04-05,"",7.9554
2012-04-06,"",4.7664
2012-04-07,"",6.278
2012-04-08,"",7.2992
2012-04-09,"",19.0283121156373
2012-04-10,"",7.5239
2012-04-11,"",6.8238
2012-04-12,"",5.6858
2012-04-13,"",4.1494
2012-04-14,"",6.2674
2012-04-15,"",7.5033
2012-04-16,"",22.1440048412602
2012-04-17,"",8.6455
2012-04-18,"",12.773
2012-04-19,"",5.6603
2012-04-20,"",4.1666
2012-04-21,"",6.9251
2012-04-22,"",5.0041
2012-04-23,"",11.9084980226125
2012-04-24,"",2.2883
2012-04-25,"",3.4043
2012-04-26,"",10.025
2012-04-27,"",4.4444
2012-04-28,"",3.3085
2012-04-29,"",3.9619
2012-04-30,"",6.32564354221478
2012-05-01,"",5.7096
2012-05-02,"",5.7471
2012-05-03,"",6.7659
2012-05-04,"",69.7976655092592
2012-05-05,"",40.2102163211292
2012-05-06,"",58.8272837750485
2012-05-07,"",104.39153079096
2012-05-10,"",188.097375450006
2012-05-11,"",15.35
2012-05-12,"",12.931
2012-05-13,"",8.704
2012-05-14,"",7.74965034965035
2012-05-21,"",24.9513013597033
2012-05-22,"",6.5609
2012-05-23,"",4.9602
2012-05-24,"",3.1217
2012-05-25,"",3.984
2012-05-26,"",3.6687
2012-05-27,"",14.122
2012-05-28,"",4.01
2012-05-29,"",23.9283525314574
2012-05-30,"",61.8309476913637
2012-05-31,"",15.603
2012-06-01,"",20.889
2012-06-02,"",15.85
2012-06-03,"",21.892
2012-06-04,"",14.0183565252363
2012-06-05,"",5.9113
2012-06-06,"",6.5837
2012-06-07,"",3.9721
2012-06-08,"",5.618
2012-06-09,"",5.3655
2012-06-10,"",11.948
2012-06-11,"",7.75287922781272
2012-06-12,"",7.6117
2012-06-13,"",6.4755
2012-06-14,"",4.6838
2012-06-15,"",8.3472
2012-06-16,"",9.4428
2012-06-17,"",6.9144
2012-06-18,"",27.7826750208855
2012-06-19,"",94.6914666715987
2012-06-20,"",72.366361878453
2012-06-21,"",16.579
2012-06-22,"",14.34
2012-06-23,"",11.627
2012-06-24,"",17.449
2012-06-25,"",17.4619707792208
2012-06-26,"",22.665
2012-06-27,"",16.977
2012-06-28,"",22.382
2012-06-29,"",30.008
2012-06-30,"",29.341
2012-07-02,"",28.2263724137931
2012-07-03,"",17.797
2012-07-04,"",17.452
2012-07-05,"",20.296
2012-07-06,"",29.893
2012-07-07,"",35.026
2012-07-08,"",33.613
2012-07-09,"",29.2891484224966
2012-07-10,"",28.612
2012-07-11,"",35.192
2012-07-12,"",32.852
2012-07-13,"",34.557
2012-07-14,"",48.92
2012-07-15,"",59.731
2012-07-16,"",52.5037509960159
2012-07-17,"",44.636
2012-07-18,"",91.828
2012-07-19,"",45.454
2012-07-20,"",30.3644175613162
2012-07-21,"",28.7686090037516
2012-07-22,"",18.721
2012-07-23,"",26.87534
2012-07-24,"",36.4
2012-07-25,"",39.8
2012-07-26,"",36.9
2012-07-27,"",48.7
2012-07-28,"",47.5
2012-07-29,"",54
2012-07-30,"",38.3736666666667
2012-07-31,"",45.818
2012-08-01,"",36.912
2012-08-02,"",40.438
2012-08-03,"",30.075
2012-08-04,"",26.278
2012-08-05,"",35.629
