"date","remark","conc"
2007-10-01,"",16.064
2007-10-02,"",12.924
2007-10-03,"",14.161
2007-10-04,"",12.037
2007-10-05,"",14.198
2007-10-06,"",12.461
2007-10-07,"",8.5
2007-10-08,"",14.436
2007-10-09,"",9.9601
2007-10-10,"",13.173
2007-10-11,"",10.526
2007-10-12,"",12.44
2007-10-13,"",9.5037
2007-10-14,"",13.347
2007-10-15,"",10.387
2007-10-16,"",11.142
2007-10-17,"",13.612
2007-10-18,"",8.1549
2007-10-19,"",10.27
2007-10-20,"",7.9681
2007-10-23,"",7.55565
2007-10-24,"",4.4494
2007-10-25,"",7.7745
2007-10-26,"",6.673
2007-10-27,"",8.372
2007-10-28,"",7.5471
2007-10-29,"",10.515
2007-10-30,"",1.0183
2007-10-31,"",4.0567
2007-11-01,"",8.0563
2007-11-02,"",5.7252
2007-11-03,"",5.0761
2007-11-04,"",6.1946
2007-11-05,"",3.8797
2007-11-06,"",5.8111
2007-11-07,"",6.3631
2007-11-08,"",6.0606
2007-11-09,"",6.0271
2007-11-10,"",6.5326
2007-11-11,"",6.2801
2007-11-12,"",7.0849
2007-11-13,"",5.0125
2007-11-14,"",4.0983
2007-11-15,"",2.3419
2007-11-16,"",4.7562
2007-11-17,"",2.2124
2007-11-18,"",1.0427
2007-11-19,"",1.5613
2007-11-28,"",22.504
2007-11-29,"",25
2007-11-30,"",27.168
2007-12-01,"",25.236
2007-12-03,"",25.936
2007-12-04,"",7.7922
2007-12-05,"",7.795
2007-12-06,"",8.6207
2007-12-07,"",6.3829
2007-12-08,"",8.0889
2007-12-10,"",7.6997
2007-12-11,"",12.81
2007-12-12,"",7.9554
2007-12-13,"",12.335
2007-12-14,"",13.061
2007-12-17,"",12.138
2008-08-18,"",19.66
2008-08-19,"",19.589
2008-08-20,"",17.817
2008-08-21,"",11.802
2008-08-22,"",14.877
2008-08-23,"",22.197
2008-08-24,"",14.994
2008-08-25,"",10.835
2008-08-26,"",14.249
2008-08-27,"",11.764
2008-08-28,"",12.215
2008-08-29,"",17.391
2008-08-30,"",10.389
2008-08-31,"",12.642
2008-09-01,"",8.2266
2008-09-02,"",8.2459
2008-09-03,"",5.6269
2008-09-05,"",7.9114
2008-09-06,"",6.278
2008-09-07,"",5.1929
2008-09-08,"",10.5125
2008-09-09,"",7.7339
2008-09-10,"",9.0497
2008-09-11,"",24
2008-09-12,"",24.462
2008-09-13,"",21.469
2008-09-14,"",35.902
2008-09-15,"",62.247
2008-09-16,"",41.386
2008-09-17,"",40.687
2008-09-18,"",16.519
2008-09-19,"",16.898
2008-09-20,"",15.625
2008-09-21,"",21.386
2008-09-22,"",17.206
2008-09-23,"",18.471
2008-09-24,"",20.902
2008-09-25,"",15.037
2008-09-26,"",13.876
2008-09-27,"",11.53
2008-09-28,"",8.2697
2008-09-29,"",11.547
2008-09-30,"",11.973
2008-10-01,"",7.5301
2008-10-02,"",8.709
2008-10-03,"",11.657
2008-10-04,"",8.5755
2008-10-05,"",12.369
2008-10-06,"",7.619
2008-10-07,"",3.9761
