"date","remark","conc"
2007-10-01,"",51.257
2007-10-22,"",36.21
2007-10-29,"",15.601
2007-11-05,"",3.786
2007-11-12,"",6.4071
2007-11-19,"",2.39
2007-11-26,"",5.9435
2007-12-03,"",60.544
2007-12-10,"",10.256
2007-12-17,"",14.768
2008-01-07,"",54.659
2008-01-14,"",30.937
2008-01-21,"",9
2008-01-29,"",5.0813
2008-02-04,"",7.8048
2008-02-05,"",215.35
2008-02-12,"",26.239
2008-02-18,"",223.55
2008-02-25,"",19.73
2008-03-04,"",186.13
2008-03-10,"",18.544
2008-03-17,"",28.992
2008-03-24,"",21.041
2008-03-31,"",28.233
2008-04-07,"",26.825
2008-04-14,"",46.476
2008-04-23,"",38.674
2008-04-24,"",40.483
2008-04-25,"",40.062
2008-04-26,"",39.14
2008-04-28,"",40.7055
2008-04-29,"",26.706
2008-04-30,"",26.028
2008-05-01,"",25.359
2008-05-02,"",19.114
2008-05-03,"",21.294
2008-05-04,"",24.214
2008-05-05,"",21.5056996919918
2008-05-06,"",23.051
2008-05-07,"",25.366
2008-05-08,"",19.542
2008-05-09,"",22.574
2008-05-10,"",17.826
2008-05-12,"",27.235203320802
2008-05-13,"",23.948
2008-05-14,"",26.098
2008-05-15,"",23.962
2008-05-16,"",14.687
2008-05-17,"",17.699
2008-05-18,"",16.822
2008-05-19,"",19.6492990786676
2008-05-20,"",21.874042498239
2008-05-21,"",15.698
2008-05-27,"",20.069
2008-06-02,"",64.285
2008-06-09,"",29.523
2008-06-10,"",246.593368313284
2008-06-11,"",162.587953139644
2008-06-12,"",49.6811116134061
2008-06-13,"",61.425
2008-06-14,"",51.342
2008-06-15,"",39.267759617189
2008-06-16,"",63.9339236641221
2008-06-17,"",225.288755216406
2008-06-18,"",133.06
2008-06-22,"",167.189673159459
2008-06-23,"",123.742615923796
2008-06-30,"",82.4
2008-07-03,"",472.88039086967
2008-07-04,"",225.103261701501
2008-07-07,"",15.6730225770238
2008-07-08,"",17.848
2008-07-09,"",45.79
2008-07-10,"",34.588
2008-07-11,"",22.786
2008-07-12,"",19.024
2008-07-13,"",23.233
2008-07-14,"",33.1384259675222
2008-07-15,"",37.843
2008-07-16,"",44.165
2008-07-17,"",48.469
2008-07-18,"",56.297
2008-07-21,"",49.956
2008-07-28,"",60.24
2008-08-04,"",61.028
2008-08-11,"",65.268
2008-08-18,"",60.987
2008-08-25,"",53.223
2008-09-02,"",55.825
2008-09-08,"",61.176
2008-09-14,"",42.577
2008-09-15,"",71.5843854393969
2008-09-16,"",65.439
2008-09-17,"",54.371
2008-09-18,"",54.123
2008-09-19,"",44.957
2008-09-22,"",62.214
2008-09-29,"",48.78
2008-10-06,"",38.875
2008-10-13,"",49.819
2008-10-20,"",10.486
2008-10-27,"",12.287
2008-11-03,"",15.686
2008-11-10,"",4.2704
2008-11-17,"",7.0471
2008-11-24,"",1.9426
2008-12-01,"",1.3837
2008-12-08,"",2.0586
2008-12-09,"",20.948
2008-12-10,"",30.0049074721781
2008-12-11,"",12.5764514742498
2008-12-12,"",12.9933716291097
2008-12-13,"",9.1995
2008-12-14,"",11.246
2008-12-15,"",7.38019466821211
2008-12-16,"",6.9108
2008-12-17,"",9.4148
2008-12-18,"",11.307
2008-12-20,"",6.3157
2009-01-05,"",16.2790138958816
2009-01-06,"",10.009
2009-01-07,"",12.112
2009-01-08,"",11.191
2009-01-09,"",7.0493
2009-01-10,"",8.8105
2009-01-11,"",8.7976
2009-01-12,"",5.25622062766125
2009-01-13,"",5.6369
2009-01-14,"",5.8823
2009-02-08,"",59.8722048812665
2009-02-09,"",39.2818992137013
2009-02-10,"",66.4114687788058
2009-02-11,"",151.57610399137
2009-02-12,"",150.671487382378
2009-02-13,"",110.652249070632
2009-02-14,"",79.3831779785669
2009-02-15,"",40.5391141726913
2009-02-16,"",30.800022034126
2009-02-17,"",27.7601671567519
2009-02-18,"",21.169
2009-02-19,"",48.1951397076281
2009-02-20,"",68.8312781669586
2009-02-21,"",25.691
2009-02-22,"",20.465
2009-02-23,"",19.4356741545894
2009-02-24,"",13.8
2009-02-25,"",19.298
2009-02-26,"",19.81
2009-02-27,"",88.9514528400892
2009-02-28,"",293.246595474898
2009-03-01,"",133.34191291841
2009-03-02,"",68.3328626974483
2009-03-03,"",38.709
2009-03-04,"",29.686
2009-03-05,"",25.615
2009-03-06,"",25.827
2009-03-07,"",26.087
2009-03-08,"",386.323625
2009-03-09,"",277.963034212648
2009-03-10,"",200.826823552974
2009-03-13,"",247.336884691617
2009-03-14,"",112.104013157895
2009-03-15,"",77.1090283439061
2009-03-16,"",58.7981282702565
2009-03-17,"",46.721
2009-03-18,"",48.58
2009-03-19,"",51.47
2009-03-20,"",57.416
2009-03-21,"",48.27
2009-03-22,"",41.969
2009-03-23,"",38.9486340160285
2009-03-24,"",33.144
2009-03-25,"",28.099
2009-03-26,"",32.446
2009-03-27,"",32.286
2009-03-28,"",29.761
2009-03-29,"",92.953
2009-03-30,"",65.2662729685471
2009-03-31,"",54.6325391340263
2009-04-01,"",33.088
2009-04-02,"",36.468
2009-04-03,"",40.169
2009-04-04,"",50.888
2009-04-05,"",42.986
2009-04-06,"",216.239218773526
2009-04-07,"",117.461410106268
2009-04-08,"",79.4078382352941
2009-04-09,"",41.525
2009-04-10,"",34.277
2009-04-11,"",33.454
2009-04-12,"",25.806
2009-04-13,"",33.109115704698
2009-04-14,"",37.109
2009-04-15,"",84.522597270897
2009-04-16,"",71.3571080376958
2009-04-17,"",33.468
2009-04-18,"",22.094
2009-04-19,"",22.797
2009-04-20,"",43.3539627170174
2009-04-21,"",73.217
2009-04-22,"",43.052
2009-04-23,"",26.939
2009-04-24,"",24
2009-04-25,"",24.048
2009-04-26,"",24.546
2009-04-27,"",36.5163233383308
2009-04-28,"",45.226
2009-04-29,"",36.636
2009-04-30,"",40.969
2009-05-01,"",51.2629334634594
2009-05-02,"",52.5747443074223
2009-05-03,"",31.872
2009-05-04,"",35.7216901657459
2009-05-05,"",27.755
2009-05-06,"",29.082
2009-05-07,"",28.616
2009-05-08,"",30.612
2009-05-09,"",27.234
2009-05-10,"",30.85
2009-05-11,"",42.0902293166689
2009-05-12,"",40.515
2009-05-14,"",76.0976557454146
2009-05-15,"",48.266220811143
2009-05-16,"",31.716
2009-05-17,"",51.2008323285277
2009-05-18,"",57.8769073853484
2009-05-19,"",37.811
2009-05-20,"",32.437
2009-05-21,"",31.802
2009-05-22,"",41.916
2009-05-23,"",42.512
2009-05-24,"",89.977
2009-05-26,"",43.542
2009-05-27,"",166.71912492641
2009-05-28,"",110.924999028764
2009-05-29,"",64.7809841687648
2009-05-30,"",51.1353675980889
2009-05-31,"",37.6076747359494
2009-06-01,"",46.3912273757629
2009-06-02,"",171.162518485916
2009-06-03,"",79.1372860206186
2009-06-04,"",45.901
2009-06-05,"",60.975
2009-06-08,"",47.756
2009-06-12,"",45.497
2009-06-13,"",77.5999508856683
2009-06-14,"",49.5153107027395
2009-06-15,"",39.7912618992872
2009-06-19,"",501.97
2009-06-20,"",295.050833649829
2009-06-21,"",163.139632079372
2009-06-22,"",72.9577073156094
2009-06-23,"",41.464904040404
2009-06-24,"",32.4596564484344
2009-06-25,"",33.1216035674859
2009-06-26,"",194.87
2009-06-27,"",41.758
2009-06-28,"",99.712
2009-06-29,"",71.364
2009-07-06,"",63.479
2009-07-13,"",58.645
2009-07-20,"",59.57
2009-07-27,"",41.91
2009-08-03,"",50.13
2009-08-10,"",33.268
2009-08-17,"",51.153
2009-08-24,"",76.378
2009-08-29,"",63.338
2009-08-30,"",83.5642136982781
2009-09-07,"",74.288
2009-09-14,"",66.715
2009-09-21,"",56.797
2009-09-28,"",46.259
2009-10-05,"",35.545
2009-10-10,"",31.007
2009-10-11,"",26.3281097106846
2009-10-12,"",28.4064481090589
2009-10-19,"",7.544
2009-10-23,"",41.666
2009-10-24,"",51.0695069232336
2009-10-25,"",43.0990529338327
2009-10-26,"",34.0103602980309
2009-10-27,"",15.853
2009-10-28,"",13.123
2009-10-29,"",16.331
2009-10-30,"",19.207
2009-10-31,"",27.219
2009-11-01,"",28.459
2009-11-02,"",26.7608986125934
2009-11-03,"",12.035
2009-11-04,"",8.7184
2009-11-05,"",5.1177
2009-11-06,"",8.24396879929886
2009-11-09,"",18.905
2009-11-16,"",18.699
2009-11-20,"",18.518
2009-11-21,"",14.094
2009-11-22,"",11.7284714559912
2009-11-23,"",8.7815
2009-12-01,"",5.3475
2009-12-02,"",11.424
2009-12-03,"",63.9029291184863
2009-12-04,"",54.534445829523
2009-12-05,"",39.3296305884696
2009-12-06,"",19.0204515344058
2009-12-07,"",11.1617672799886
2009-12-08,"",6.7943
2009-12-09,"",47.8033747846357
2009-12-10,"",49.9662189493118
2009-12-11,"",31.2038950992305
2009-12-12,"",12.557
2009-12-13,"",9.5837
2009-12-14,"",10.1739696498054
2009-12-15,"",12.867
2009-12-17,"",13.138
2009-12-18,"",7.5235
2009-12-19,"",7.2416
2009-12-20,"",6.6666
2009-12-21,"",4.9019
2009-12-26,"",104.09
2009-12-27,"",121.87
2009-12-28,"",86.476
2009-12-29,"",48.722
2009-12-31,"",19.178
2010-01-01,"",12.6
2010-01-05,"",8.83397497820401
2010-01-06,"",4.92
2010-01-24,"",135.19
2010-01-25,"",119.87984384324
2010-01-26,"",91.5400010492445
2010-01-27,"",41.6361172305559
2010-01-28,"",21.0756092271867
2010-03-01,"",85.0300721634615
2010-03-02,"",44.6842040044494
2010-03-03,"",35.2602786287381
2010-03-04,"",35.326
2010-03-05,"",32.649
2010-03-06,"",27.559
2010-03-07,"",49.455
