"Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","Qualifier","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux","GenFlux","GenConc"
2007-10-01,4.78554703630647,57616,10,275,2007.74874429224,1894,2008,"A",1,1.56560034152757,NA,NA,2.20037938643671,0.73133105601486,11.8046304693147,4880.87548045535,14.6670328365015,13362.6812552746,6642.00238388203,16.064
2007-10-02,5.35188396368002,57617,10,276,2007.75148401826,1894,2008,"A",2,1.67744864166414,NA,NA,2.2201889882017,0.734987647629916,12.0919636855584,5591.3575568954,15.1657575762815,15597.1904851069,5976.09345714629,12.924
2007-10-03,6.39960727932108,57618,10,277,2007.75422374429,1894,2008,"A",3,1.85623662587678,NA,NA,2.27733782568317,0.739357249347994,12.8811843532484,7122.3426276473,15.8552440406844,22638.4504206786,7829.98606216505,14.161
2007-10-04,7.36238005585611,57619,10,278,2007.75696347032,1894,2008,"A",4,1.99638325762003,NA,NA,2.31954185221281,0.743172987250667,13.4605600005103,8562.39193339873,16.181090763011,28641.3860793203,7656.85169847418,12.037
2007-10-05,7.61723167317421,57620,10,279,2007.75970319635,1894,2008,"A",5,2.03041300620634,NA,NA,2.32138735594889,0.745150466456533,13.5045207374764,8887.71425119576,15.8086493754862,23920.5389789898,9344.11293755085,14.198
2007-10-06,7.53228113406818,57621,10,280,2007.76244292237,1894,2008,"A",6,2.0191979353862,NA,NA,2.30610703117352,0.746306198085745,13.3250889218442,8671.82249339608,15.5709786507958,21915.2789524905,8109.48285028428,12.461
2007-10-07,7.05089474580066,57622,10,281,2007.7651826484,1894,2008,"A",7,1.95315452306921,6.58568941260096,NA,2.27020841402915,0.746403393281789,12.8830266503142,7848.30512897654,15.8155134615309,22306.0970736407,5178.17710131601,8.5
2007-10-08,6.54119151116447,57623,10,282,2007.76792237443,1894,2008,"A",8,1.87811933712629,6.8364957661521,NA,2.23104458368168,0.746273030322459,12.4048435518849,7010.70831408208,15.5217112536175,20942.8502678038,8158.63455260671,14.436
2007-10-09,6.14475566200299,57624,10,283,2007.77066210046,1894,2008,"A",9,1.81559898014496,6.94976315162681,NA,2.19669701473682,0.746333166829896,11.9931911067116,6367.26778201006,15.0842426746691,19165.8967736863,5287.88570709162,9.9601
2007-10-10,5.94653773742224,57625,10,284,2007.77340182648,1894,2008,"A",10,1.78280915732197,6.88503893135555,NA,2.17357025386726,0.746948436987084,11.7263780012362,6024.78858017916,14.6346252321477,17565.890440187,6768.03527554146,13.173
2007-10-11,5.60673558099812,57626,10,285,2007.77614155251,1894,2008,"A",11,1.72396865729903,6.63423257780441,NA,2.14078161611984,0.746998271607949,11.3428300126089,5494.7158808464,14.1017639033803,15606.2959553604,5099.02548989065,10.526
2007-10-12,5.35188396368002,57627,10,286,2007.77888127854,1894,2008,"A",12,1.67744864166414,6.31061147644809,NA,2.11267778798683,0.747261967567148,11.0213893720158,5096.32102404561,13.5166970956586,13103.2453512427,5752.2905143067,12.44
2007-10-13,5.23861657820531,57628,10,287,2007.78162100457,1894,2008,"A",13,1.65605745168282,5.98294511132483,NA,2.09398358123691,0.748029445623197,10.8179167042069,4896.36729690932,12.8761291567383,10698.9006490458,4301.53116833864,9.5037
2007-10-14,5.09703234636192,57629,10,288,2007.78436073059,1894,2008,"A",14,1.62865847749471,5.70382191140501,NA,2.07309978061177,0.748648583321254,10.5898334979623,4663.58894337896,12.365524658141,9161.64604752305,5877.79983880352,13.347
2007-10-15,4.92713126814986,57630,10,289,2007.78710045662,1894,2008,"A",15,1.59475692581903,5.47324187668864,NA,2.05607424488827,0.74877171530281,10.4096454003065,4431.42915916628,12.2155286975196,9299.5636652829,4421.78891846835,10.387
2007-10-16,4.8704975754125,57631,10,290,2007.78984018265,1894,2008,"A",16,1.58319610341795,5.29120500717571,NA,2.04380218231087,0.749556306315742,10.2869726404552,4328.87114623725,13.1487985689492,17732.4384243455,4688.67605632527,11.142
2007-10-17,4.8704975754125,57632,10,291,2007.79257990868,1894,2008,"A",17,1.58319610341795,5.13748498403146,NA,2.03313645554591,0.750739965537887,10.1835828764988,4285.36359725756,13.4347493216956,23949.9771760754,5728.0792028989,13.612
2007-10-18,4.92713126814986,57633,10,292,2007.7953196347,1894,2008,"A",18,1.59475692581903,5.04039865362457,NA,2.0240425991087,0.752342400675773,10.0987125396588,4299.06375263894,13.1729714187394,22191.9244752141,3471.57470407409,8.1549
2007-10-19,4.92713126814986,57634,10,293,2007.79805936073,1894,2008,"A",19,1.59475692581903,4.97971969712026,NA,2.01336538384914,0.753532629133395,9.99506825277911,4254.94195046438,12.7728123900014,18449.3584761247,4371.98153390488,10.27
2007-10-20,4.89881442178118,57635,10,294,2007.80079908676,1894,2008,"A",20,1.58899322110228,4.93117653191681,NA,2.00191596021793,0.754507524554883,9.8824448019719,4182.819533426,12.8753637155446,15460.0675177095,3372.55861197842,7.9681
2007-10-21,5.01208180725589,57636,10,295,2007.80353881279,1894,2008,"A",21,1.61185135917833,4.91904074061595,NA,1.99428424010319,0.756561450740896,9.81403441477426,4249.90742510073,13.0017685941478,15916.72694708,4509.45664145403,10.4133945153201
2007-10-22,5.09703234636192,57637,10,296,2007.80627853881,1894,2008,"A",22,1.62865847749471,4.94331232321767,NA,1.98742080018742,0.758314752697454,9.75311796289776,4295.11314828442,13.0728930054379,16205.6702876131,4760.21513432895,10.8092471911772
2007-10-23,5.63505242736679,57638,10,297,2007.80901826484,1894,2008,"A",23,1.72900645132899,5.05253444492543,NA,2.01312430640788,0.762074794182125,10.0500611980329,4893.05851912743,13.0598090948007,15974.0507217581,3678.60820661285,7.55565
2007-10-24,5.77663665921018,57639,10,298,2007.81175799087,1894,2008,"A",24,1.75382162044871,5.18198288546796,NA,2.01131332775637,0.763963249589643,10.0384360255541,5010.19754800481,12.7354078058147,13982.1023473075,2220.70180188872,4.4494
2007-10-25,6.22970620110902,57640,10,299,2007.81449771689,1894,2008,"A",25,1.82932917295686,5.36806501874783,NA,2.02827061850085,0.76702958615633,10.2422264592722,5512.84372971283,14.1964706079913,29089.643199144,4184.59831434911,7.7745
2007-10-26,6.48455781842711,57641,10,300,2007.81723744292,1894,2008,"A",26,1.86942363015874,5.5905545259303,NA,2.03254587560642,0.769134223877112,10.3105328376725,5776.63888245222,14.1238009419766,47243.5257470557,3738.65365345226,6.673
2007-10-27,6.3712904329524,57642,10,301,2007.81997716895,1894,2008,"A",27,1.85180202880892,5.8009082418119,NA,2.01598263815877,0.769729224371639,10.1544283358179,5589.80456613959,15.7287929864738,50340.1138076166,4608.61431880414,8.372
2007-10-28,6.3712904329524,57643,10,302,2007.82271689498,1894,2008,"A",28,1.85180202880892,5.99508090262569,NA,2.00577789978048,0.770786307880409,10.0665893451704,5541.45100306657,16.6946070115426,59767.2909392831,4154.52378469263,7.5471
2007-10-29,6.42792412568976,57644,10,303,2007.825456621,1894,2008,"A",29,1.8606516440859,6.18520829967252,NA,1.99875165822604,0.77207996828139,10.0120638707844,5560.42638841589,16.7545852564763,62864.3817897438,5839.74335649265,10.515
2007-10-30,6.31465674021505,57645,10,304,2007.82819634703,1894,2008,"A",30,1.84287339806462,6.28229463007942,5.83893372122127,1.98216650978159,0.772660266382512,9.85762648931512,5378.18638060306,16.6456332877966,68447.2319012851,555.570572419669,1.0183
2007-10-31,6.08812196926563,57646,10,305,2007.83093607306,1894,2008,"A",31,1.80633965473216,6.32679253151591,5.88235288565324,1.95888560861231,0.772726740295841,9.63525440206632,5068.27618600464,17.3794308845449,68693.1041008785,2133.879931531,4.0567
2007-11-01,5.77663665921018,57647,11,306,2007.83367579909,1895,2008,"A",32,1.75382162044871,6.26206831124465,5.89651130883758,1.9299309396129,0.772345313030247,9.35713086073103,4670.15718140287,18.2878001407109,82761.2869420093,4020.91066808021,8.0563
2007-11-02,5.57841873462944,57648,11,307,2007.83641552511,1895,2008,"A",33,1.71890535534249,6.13261987070212,5.86913835734786,1.90731750938962,0.77242854162224,9.14653217360023,4408.40330790645,20.1030340173458,89671.394671993,2759.40543797284,5.7252
2007-11-03,5.43683450278605,57649,11,308,2007.83915525114,1895,2008,"A",34,1.69319699863228,5.99912616639265,5.80495350557886,1.88802448976801,0.772753876731923,8.97146471992027,4214.27827553388,20.3178741246202,87216.3994991558,2384.45990953277,5.0761
2007-11-04,5.3802008100487,57650,11,309,2007.84189497717,1895,2008,"A",35,1.68272569876498,5.85754193454926,5.73038581014134,1.87418189131549,0.773493351683411,8.85229461638678,4114.9833983315,20.0740361169489,80593.7101947636,2879.55578343695,6.1946
2007-11-05,5.3802008100487,57651,11,310,2007.8446347032,1895,2008,"A",36,1.68272569876498,5.70786717517196,5.65864979934069,1.86407114179781,0.77452166505901,8.77063056086542,4077.021915205,19.1328500394643,68356.0118951423,1803.47602314925,3.8797
2007-11-06,5.63505242736679,57652,11,311,2007.84737442922,1895,2008,"A",37,1.72900645132899,5.61078084476507,5.6114550553929,1.87037712992936,0.776850203749855,8.84966392790759,4308.62286513623,18.4290862071153,56543.2516729932,2829.24171308199,5.8111
2007-11-07,5.97485458379092,57653,11,312,2007.85011415525,1895,2008,"A",38,1.78755976008056,5.59459978969725,5.59257715781378,1.88097817007036,0.779541369936474,8.96748172826198,4629.26010031207,16.8503678966612,41140.6072776008,3284.80679826317,6.3631
2007-11-08,6.03148827652828,57654,11,313,2007.85285388128,1895,2008,"A",39,1.79699379231392,5.63100716359984,5.58880157829795,1.87414510087746,0.780855775067881,8.91405700613306,4645.298620408,15.272798685235,28983.9969128234,3158.30343013004,6.0606
2007-11-09,6.0031714301596,57655,11,314,2007.85559360731,1895,2008,"A",40,1.79228790127651,5.69168612010415,5.59068936805587,1.86230940151148,0.781768921389708,8.81239536222556,4570.76045402929,14.131269718522,23101.8211051237,3126.10013510817,6.0271
2007-11-10,5.91822089105357,57656,11,315,2007.85833333333,1895,2008,"A",41,1.77803587856931,5.76045560414236,5.60107221172438,1.84711395091615,0.782405776813676,8.67932564501267,4438.03677286213,13.0946839034426,18247.5343928769,3340.34235010626,6.5326
2007-11-11,5.88990404468489,57657,11,316,2007.86107305936,1895,2008,"A",42,1.77323970630582,5.83327035194753,5.61900621442454,1.83526224847289,0.783311482531149,8.57840311616321,4365.44391261547,12.2178141840726,14917.6707780301,3195.86570418461,6.2801
2007-11-12,5.80495350557886,57658,11,317,2007.86381278539,1895,2008,"A",43,1.75871160574291,5.89394930845184,5.63788411200366,1.8199962222919,0.783932208357041,8.44617197297329,4236.16051611935,11.6341383876776,13025.51024417,3553.41730392078,7.0849
2007-11-13,5.72000296647283,57659,11,318,2007.86655251142,1895,2008,"A",44,1.7439693240057,5.9060850997527,5.65864979934069,1.80467120729403,0.784541717575317,8.31431307755237,4109.00216841648,11.2263298729073,11785.1760461905,2477.21888472005,5.0125
