"Year1","Year2","change_mgL","slope_mgL_yr","change_%","slope_%_yr","station"
2008,2015,0.091,0.013,87,12,"Blanchard"
2008,2022,0.13,0.0096,128,9.2,"Blanchard"
2015,2022,0.043,0.0061,22,3.1,"Blanchard"
2012,2017,-0.069,-0.014,-29,-5.8,"Chickasaw"
2012,2022,-0.13,-0.013,-56,-5.6,"Chickasaw"
2017,2022,-0.065,-0.013,-38,-7.6,"Chickasaw"
2008,2015,-0.0037,-0.00053,-4.6,-0.66,"Honey"
2008,2022,-0.0082,-0.00059,-10,-0.74,"Honey"
2015,2022,-0.0045,-0.00065,-5.9,-0.85,"Honey"
2008,2015,0.0049,0.00069,6.9,0.98,"Maumee"
2008,2022,0.00037,2.7e-05,0.53,0.038,"Maumee"
2015,2022,-0.0045,-0.00064,-5.9,-0.85,"Maumee"
2012,2017,0.025,0.005,39,7.8,"Portage"
2012,2022,0.056,0.0056,87,8.7,"Portage"
2017,2022,0.031,0.0062,35,6.9,"Portage"
2008,2015,0.011,0.0016,52,7.4,"Raisin"
2008,2022,0.015,0.0011,69,4.9,"Raisin"
2015,2022,0.0037,0.00052,11,1.6,"Raisin"
2008,2015,0.0044,0.00063,8.4,1.2,"Sandusky"
2008,2022,0.017,0.0012,33,2.4,"Sandusky"
2015,2022,0.013,0.0019,23,3.3,"Sandusky"
2008,2015,0.0061,0.00088,12,1.7,"Tiffin"
2008,2022,-0.0038,-0.00027,-7.4,-0.53,"Tiffin"
2015,2022,-0.0099,-0.0014,-17,-2.5,"Tiffin"
