"Year1","Year2","change_tons_yr","slope_tons_yr_yr","change_%","slope_%_yr","station"
2009,2015,-4469,-745,-10,-1.7,"Blanchard"
2009,2021,-179,-15,-0.4,-0.034,"Blanchard"
2015,2021,4290,715,11,1.8,"Blanchard"
2009,2015,1961,327,7.8,1.3,"Tiffin"
2009,2021,3374,281,13,1.1,"Tiffin"
2015,2021,1413,236,5.2,0.87,"Tiffin"
2009,2015,-121891,-20315,-11,-1.9,"Maumee"
2009,2021,-24036,-2003,-2.2,-0.19,"Maumee"
2015,2021,97855,16309,10,1.7,"Maumee"
2009,2015,6383,1064,17,2.8,"Raisin"
2009,2021,15006,1251,40,3.3,"Raisin"
2015,2021,8623,1437,19,3.2,"Raisin"
