"Year1","Year2","change_mgL","slope_mgL_yr","change_%","slope_%_yr","station"
2009,2015,0.077,0.013,31,5.1,"Blanchard"
2009,2021,0.13,0.011,52,4.4,"Blanchard"
2015,2021,0.053,0.0089,16,2.7,"Blanchard"
2009,2015,0.0069,0.0011,3.5,0.59,"Honey"
2009,2021,0.023,0.0019,12,0.99,"Honey"
2015,2021,0.016,0.0027,8,1.3,"Honey"
2009,2015,-0.0037,-0.00061,-1.6,-0.26,"Maumee"
2009,2021,0.013,0.0011,5.7,0.47,"Maumee"
2015,2021,0.017,0.0028,7.4,1.2,"Maumee"
2009,2015,0.02,0.0033,23,3.8,"Raisin"
2009,2021,0.029,0.0024,34,2.8,"Raisin"
2015,2021,0.0091,0.0015,8.7,1.5,"Raisin"
2009,2015,-0.0037,-0.00062,-1.9,-0.31,"Sandusky"
2009,2021,0.041,0.0034,21,1.7,"Sandusky"
2015,2021,0.045,0.0074,23,3.8,"Sandusky"
2009,2015,0.016,0.0027,10,1.7,"Tiffin"
2009,2021,0.0093,0.00077,5.8,0.48,"Tiffin"
2015,2021,-0.0067,-0.0011,-3.8,-0.64,"Tiffin"
