"Year1","Year2","change_tons_yr","slope_tons_yr_yr","change_%","slope_%_yr","station"
2009,2015,4.3,0.71,2.8,0.47,"Blanchard"
2009,2021,25,2.1,16,1.4,"Blanchard"
2015,2021,21,3.4,13,2.2,"Blanchard"
2009,2015,5.9,0.98,7.8,1.3,"Honey"
2009,2021,12,1,16,1.3,"Honey"
2015,2021,6.2,1,7.6,1.3,"Honey"
2009,2015,-35,-5.8,-1.3,-0.22,"Maumee"
2009,2021,249,21,9.5,0.79,"Maumee"
2015,2021,284,47,11,1.8,"Maumee"
2009,2015,33,5.5,27,4.5,"Raisin"
2009,2021,54,4.5,43,3.6,"Raisin"
2015,2021,20,3.4,13,2.2,"Raisin"
2009,2015,20,3.4,3.5,0.58,"Sandusky"
2009,2021,154,13,26,2.2,"Sandusky"
2015,2021,134,22,22,3.7,"Sandusky"
2009,2015,12,2,14,2.3,"Tiffin"
2009,2021,17,1.4,18,1.5,"Tiffin"
2015,2021,4.4,0.74,4.3,0.72,"Tiffin"
