"initialflux","initialFNflux","perFlux","perFNFlux","finalflux","finalFNflux","station","year1","year2","season","span","perSlopeFlux","perSlopeFNFlux"
"51.59","33.41","32.74","32.22","28.41","31.73","Blanchard","2008","2022","winter","14","-3.21","-0.36"
"38.97","33.04","33.72","33.82","25.11","34.04","Chickasaw","2009","2022","winter","13","-2.74","0.23"
"50.09","35.44","34.16","34.55","26.1","33.79","Honey","2008","2022","winter","14","-3.42","-0.33"
"56.43","35.3","35.15","35.35","11.79","34.64","Maumee","2008","2022","winter","14","-5.65","-0.13"
"5.57","30.54","32.16","28.64","15.14","26.53","Portage","2011","2022","winter","11","15.62","-1.19"
"51.61","33.64","27.57","32.07","2.39","29.61","Raisin","2008","2022","winter","14","-6.81","-0.86"
"55.74","37.37","36.18","36.22","24.05","35.07","Sandusky","2008","2022","winter","14","-4.06","-0.44"
"54.68","32.63","28.81","32.49","1.83","32.35","Tiffin","2008","2022","winter","14","-6.9","-0.06"
"66.93","49.46","55.17","49.49","48.64","49.35","Blanchard","2008","2022","spring","14","-1.95","-0.02"
"79.42","49.36","48.48","49.96","24.1","51.29","Chickasaw","2009","2022","spring","13","-5.36","0.3"
"61.47","46.05","52.72","47.49","45.21","48.18","Honey","2008","2022","spring","14","-1.89","0.33"
"64.8","53.93","55.8","52.45","34.32","51.88","Maumee","2008","2022","spring","14","-3.36","-0.27"
"36.79","48.46","51.31","49.39","41.55","50.52","Portage","2011","2022","spring","11","1.18","0.39"
"53.55","50.1","61.14","51.22","23.48","52.62","Raisin","2008","2022","spring","14","-4.01","0.36"
"59.91","47.95","54.69","48.33","45.25","48.26","Sandusky","2008","2022","spring","14","-1.75","0.05"
"61.77","52.16","60.65","51.34","30","52.35","Tiffin","2008","2022","spring","14","-3.67","0.03"
"1.95","5.47","6.56","5.99","7.24","5.83","Blanchard","2008","2022","summer","14","19.38","0.47"
"2.37","5.28","6.4","4.66","0.91","3.83","Chickasaw","2009","2022","summer","13","-4.74","-2.11"
"0.28","2.28","2.24","2.23","1.85","2.33","Honey","2008","2022","summer","14","40.05","0.16"
"1.44","2.27","3.02","2.56","2.28","2.93","Maumee","2008","2022","summer","14","4.17","2.08"
"0.74","5","3.77","6.05","4.97","6.66","Portage","2011","2022","summer","11","51.97","3.02"
"1.86","3.58","6.84","4.71","2.92","6.39","Raisin","2008","2022","summer","14","4.07","5.61"
"0.24","2.91","3.03","3.21","4.74","3.64","Sandusky","2008","2022","summer","14","133.93","1.79"
"1.86","2.87","4.08","3.02","1.79","3.07","Tiffin","2008","2022","summer","14","-0.27","0.5"
"0.78","11.8","11.52","12.13","8.15","12.53","Blanchard","2008","2022","fall","14","67.49","0.44"
"3.08","12.45","13.65","11.9","28.3","11.37","Chickasaw","2009","2022","fall","13","62.99","-0.67"
"0.44","16.37","15.87","15.77","13.39","15.85","Honey","2008","2022","fall","14","210.23","-0.23"
"0.69","8.66","11.41","9.82","53.44","10.87","Maumee","2008","2022","fall","14","546.07","1.82"
"47.19","16.01","18.1","16.18","41.28","16.09","Portage","2011","2022","fall","11","-1.14","0.05"
"1.57","12.16","16.77","12.19","94.48","12.5","Raisin","2008","2022","fall","14","422.7","0.2"
"0.4","11.81","11.72","12.17","10.52","12.89","Sandusky","2008","2022","fall","14","180.71","0.65"
"0.66","12.29","17.86","13.29","93.19","12.79","Tiffin","2008","2022","fall","14","1001.41","0.29"
