"initalconc","intitalflux","finalconc","finalflux","totalChangeConc","totalChangeFlux","perChangeConc","perChangeFlux","station","year1","year2","season","span","perSlopeConc","perSlopeFlux"
"0.196","0.0448","0.239","0.0504","0.043","0.006","21.927","12.444","Blanchard","2015","2022","annual","7","3.13242857142857","1.77771428571429"
"0.196","0.00433","0.105","0.00314","-0.092","-0.001","-46.699","-27.551","Chickasaw","2015","2022","annual","7","-6.67128571428571","-3.93585714285714"
"0.0763","0.0223","0.0718","0.0215","-0.005","-0.001","-5.947","-3.623","Honey","2015","2022","annual","7","-0.849571428571429","-0.517571428571429"
"0.0754","0.604","0.0709","0.566","-0.004","-0.038","-5.946","-6.232","Maumee","2015","2022","annual","7","-0.849428571428571","-0.890285714285714"
"0.0782","0.045","0.12","0.049","0.042","0.004","53.355","8.829","Portage","2015","2022","annual","7","7.62214285714286","1.26128571428571"
"0.033","0.0381","0.0366","0.0344","0.004","-0.004","11.131","-9.837","Raisin","2015","2022","annual","7","1.59014285714286","-1.40528571428571"
"0.0564","0.134","0.0694","0.149","0.013","0.015","22.961","11.079","Sandusky","2015","2022","annual","7","3.28014285714286","1.58271428571429"
"0.0572","0.0278","0.0473","0.0232","-0.01","-0.005","-17.3","-16.594","Tiffin","2015","2022","annual","7","-2.47142857142857","-2.37057142857143"
"0.1535","0.058","0.2039","0.0649","0.05","0.007","32.893","11.936","Blanchard","2015","2022","winter","7","4.699","1.70514285714286"
"0.1724","0.00591","0.0873","0.0043","-0.085","-0.002","-49.381","-27.213","Chickasaw","2015","2022","winter","7","-7.05442857142857","-3.88757142857143"
"0.0749","0.0311","0.0648","0.0294","-0.01","-0.002","-13.485","-5.586","Honey","2015","2022","winter","7","-1.92642857142857","-0.798"
"0.1119","0.877","0.0908","0.79","-0.021","-0.087","-18.858","-9.95","Maumee","2015","2022","winter","7","-2.694","-1.42142857142857"
"0.0717","0.053","0.0833","0.052","0.012","-0.001","16.114","-2.015","Portage","2015","2022","winter","7","2.302","-0.287857142857143"
"0.0292","0.0501","0.0221","0.0401","-0.007","-0.01","-24.325","-20.002","Raisin","2015","2022","winter","7","-3.475","-2.85742857142857"
"0.0637","0.197","0.0688","0.212","0.005","0.014","7.961","7.266","Sandusky","2015","2022","winter","7","1.13728571428571","1.038"
"0.0472","0.0366","0.0332","0.0301","-0.014","-0.006","-29.771","-17.638","Tiffin","2015","2022","winter","7","-4.253","-2.51971428571429"
"0.1579","0.0535","0.1791","0.0597","0.021","0.006","13.46","11.576","Blanchard","2015","2022","spring","7","1.92285714285714","1.65371428571429"
"0.161","0.00507","0.079","0.00375","-0.082","-0.001","-50.966","-26.006","Chickasaw","2015","2022","spring","7","-7.28085714285714","-3.71514285714286"
"0.0771","0.0255","0.0722","0.0246","-0.005","-0.001","-6.367","-3.791","Honey","2015","2022","spring","7","-0.909571428571429","-0.541571428571429"
"0.0676","0.748","0.0674","0.697","0","-0.051","-0.202","-6.83","Maumee","2015","2022","spring","7","-0.0288571428571429","-0.975714285714286"
"0.0628","0.0528","0.0924","0.0593","0.03","0.007","47.035","12.389","Portage","2015","2022","spring","7","6.71928571428571","1.76985714285714"
"0.0327","0.0469","0.0353","0.042","0.003","-0.005","8.219","-10.42","Raisin","2015","2022","spring","7","1.17414285714286","-1.48857142857143"
"0.0587","0.157","0.0686","0.173","0.01","0.016","16.766","10.247","Sandusky","2015","2022","spring","7","2.39514285714286","1.46385714285714"
"0.0511","0.0336","0.0446","0.0285","-0.006","-0.005","-12.615","-15.199","Tiffin","2015","2022","spring","7","-1.80214285714286","-2.17128571428571"
"0.307","0.0165","0.353","0.0187","0.046","0.002","15.008","12.9","Blanchard","2015","2022","summer","7","2.144","1.84285714285714"
"0.259","0.001245","0.16","0.00075","-0.099","0","-38.222","-39.767","Chickasaw","2015","2022","summer","7","-5.46028571428571","-5.681"
"0.0695","0.00282","0.0722","0.00306","0.003","0","3.877","8.523","Honey","2015","2022","summer","7","0.553857142857143","1.21757142857143"
"0.0491","0.0883","0.0524","0.1024","0.003","0.014","6.534","15.952","Maumee","2015","2022","summer","7","0.933428571428571","2.27885714285714"
"0.1077","0.0153","0.2124","0.0209","0.105","0.006","97.172","36.582","Portage","2015","2022","summer","7","13.8817142857143","5.226"
"0.0406","0.01014","0.061","0.014","0.02","0.004","50.183","38.082","Raisin","2015","2022","summer","7","7.169","5.44028571428571"
"0.0439","0.0244","0.0702","0.0337","0.026","0.009","59.871","37.84","Sandusky","2015","2022","summer","7","8.553","5.40571428571429"
"0.0776","0.00511","0.0712","0.0044","-0.006","-0.001","-8.283","-13.933","Tiffin","2015","2022","summer","7","-1.18328571428571","-1.99042857142857"
"0.267","0.0329","0.326","0.0371","0.083","0.005","34.251","17.259","Blanchard","2015","2022","fall","7","4.893","2.46557142857143"
"0.238","0.00313","0.139","0.00226","-0.118","-0.001","-45.865","-29.852","Chickasaw","2015","2022","fall","7","-6.55214285714286","-4.26457142857143"
"0.0819","0.0206","0.0805","0.0205","-0.003","0","-3.165","-0.394","Honey","2015","2022","fall","7","-0.452142857142857","-0.0562857142857143"
"0.0695","0.367","0.0691","0.372","0.001","0.018","2.098","4.976","Maumee","2015","2022","fall","7","0.299714285714286","0.710857142857143"
"0.1042","0.0439","0.151","0.0466","0.054","0.003","55.583","7.751","Portage","2015","2022","fall","7","7.94042857142857","1.10728571428571"
"0.035","0.0288","0.0369","0.027","0.005","0.001","16.834","2.916","Raisin","2015","2022","fall","7","2.40485714285714","0.416571428571429"
"0.0539","0.0975","0.0714","0.1133","0.019","0.018","36.354","19.317","Sandusky","2015","2022","fall","7","5.19342857142857","2.75957142857143"
"0.0679","0.0238","0.0508","0.0185","-0.016","-0.005","-23.772","-19.836","Tiffin","2015","2022","fall","7","-3.396","-2.83371428571429"
