"initialflux","initialFNflux","perFlux","perFNFlux","finalflux","finalFNflux","station","year1","year2","season","span","perSlopeFlux","perSlopeFNFlux"
"56.43","35.3","35.15","35.35","11.79","34.64","Maumee","2009","2021","winter","12","-6.59","-0.16"
"54.68","32.63","28.81","32.49","1.83","32.35","Tiffin","2009","2021","winter","12","-8.05","-0.07"
"51.59","33.41","32.74","32.22","28.41","31.73","Blanchard","2009","2021","winter","12","-3.74","-0.42"
"55.74","37.37","36.18","36.22","24.05","35.07","Sandusky","2009","2021","winter","12","-4.74","-0.51"
"50.09","35.44","34.16","34.55","26.1","33.79","Honey","2009","2021","winter","12","-3.99","-0.39"
"51.61","33.64","27.57","32.07","2.39","29.61","Raisin","2009","2021","winter","12","-7.95","-1"
"64.8","53.93","55.8","52.45","34.32","51.88","Maumee","2009","2021","spring","12","-3.92","-0.32"
"61.77","52.16","60.65","51.34","30","52.35","Tiffin","2009","2021","spring","12","-4.29","0.03"
"66.93","49.46","55.17","49.49","48.64","49.35","Blanchard","2009","2021","spring","12","-2.28","-0.02"
"59.91","47.95","54.69","48.33","45.25","48.26","Sandusky","2009","2021","spring","12","-2.04","0.05"
"61.47","46.05","52.72","47.49","45.21","48.18","Honey","2009","2021","spring","12","-2.2","0.39"
"53.55","50.1","61.14","51.22","23.48","52.62","Raisin","2009","2021","spring","12","-4.68","0.42"
"4.55","11.06","14.91","11.77","2.28","2.93","Maumee","2009","2021","offseason","12","-4.16","-6.13"
"5.82","15.43","22.72","15.43","1.79","3.07","Tiffin","2009","2021","offseason","12","-5.77","-6.68"
"4.05","17.37","18.91","17.3","7.24","5.83","Blanchard","2009","2021","offseason","12","6.56","-5.54"
"1.12","14.75","15.14","14.55","4.74","3.64","Sandusky","2009","2021","offseason","12","26.93","-6.28"
"1.04","18.62","18.39","16.84","1.85","2.33","Honey","2009","2021","offseason","12","6.49","-7.29"
"4.85","15.71","25.8","16.06","2.92","6.39","Raisin","2009","2021","offseason","12","-3.32","-4.94"
