"initalconc","intitalflux","finalconc","finalflux","totalChangeConc","totalChangeFlux","perChangeConc","perChangeFlux","station","year1","year2","season","span","perSlopeConc","perSlopeFlux"
"0.238","0.137","0.387","0.164","0.15","0.027","62.898","19.794","Blanchard","2008","2022","annual","14","4.49271428571429","1.41385714285714"
"0.404","0.0114","0.191","0.0106","-0.214","-0.001","-52.841","-7.284","Chickasaw","2009","2022","annual","13","-4.06469230769231","-0.560307692307692"
"0.194","0.0681","0.222","0.0809","0.027","0.013","14.011","18.82","Honey","2008","2022","annual","14","1.00078571428571","1.34428571428571"
"0.233","2.41","0.248","2.67","0.015","0.254","6.451","10.515","Maumee","2008","2022","annual","14","0.460785714285714","0.751071428571429"
"0.153","0.155","0.226","0.19","0.074","0.035","48.264","22.358","Portage","2011","2022","annual","11","4.38763636363636","2.03254545454545"
"0.0823","0.109","0.1148","0.163","0.032","0.055","39.368","50.315","Raisin","2008","2022","annual","14","2.812","3.59392857142857"
"0.2","0.529","0.249","0.698","0.049","0.168","24.335","31.762","Sandusky","2008","2022","annual","14","1.73821428571429","2.26871428571429"
"0.157","0.0811","0.167","0.0978","0.01","0.017","6.339","20.512","Tiffin","2008","2022","annual","14","0.452785714285714","1.46514285714286"
"0.204","0.175","0.357","0.212","0.152","0.037","74.561","21.105","Blanchard","2008","2022","winter","14","5.32578571428571","1.5075"
"0.375","0.0157","0.178","0.0136","-0.197","-0.002","-52.611","-13.253","Chickasaw","2009","2022","winter","13","-4.047","-1.01946153846154"
"0.185","0.0922","0.202","0.1031","0.017","0.011","9.294","11.86","Honey","2008","2022","winter","14","0.663857142857143","0.847142857142857"
"0.261","3.19","0.269","3.52","0.008","0.329","3.139","10.285","Maumee","2008","2022","winter","14","0.224214285714286","0.734642857142857"
"0.154","0.191","0.201","0.225","0.047","0.034","30.463","18.068","Portage","2011","2022","winter","11","2.76936363636364","1.64254545454545"
"0.0789","0.134","0.0965","0.191","0.018","0.056","22.208","42.126","Raisin","2008","2022","winter","14","1.58628571428571","3.009"
"0.195","0.71","0.248","0.953","0.053","0.244","27.35","34.349","Sandusky","2008","2022","winter","14","1.95357142857143","2.4535"
"0.12","0.0949","0.122","0.1118","0.002","0.017","1.653","17.779","Tiffin","2008","2022","winter","14","0.118071428571429","1.26992857142857"
"0.263","0.187","0.359","0.216","0.096","0.029","36.607","15.755","Blanchard","2008","2022","spring","14","2.61478571428571","1.12535714285714"
"0.316","0.0139","0.186","0.0146","-0.13","0.001","-41.137","5.314","Chickasaw","2009","2022","spring","13","-3.16438461538462","0.408769230769231"
"0.234","0.0892","0.268","0.1082","0.034","0.019","14.354","21.306","Honey","2008","2022","spring","14","1.02528571428571","1.52185714285714"
"0.265","3.37","0.281","3.7","0.016","0.324","6.213","9.598","Maumee","2008","2022","spring","14","0.443785714285714","0.685571428571429"
"0.163","0.205","0.221","0.247","0.058","0.042","35.871","20.33","Portage","2011","2022","spring","11","3.261","1.84818181818182"
"0.093","0.15","0.1382","0.235","0.045","0.085","48.569","56.784","Raisin","2008","2022","spring","14","3.46921428571429","4.056"
"0.248","0.726","0.301","0.915","0.053","0.189","21.517","26.04","Sandusky","2008","2022","spring","14","1.53692857142857","1.86"
"0.176","0.114","0.199","0.141","0.023","0.027","13.151","23.355","Tiffin","2008","2022","spring","14","0.939357142857143","1.66821428571429"
"0.257","0.0257","0.457","0.0357","0.201","0.01","78.099","38.663","Blanchard","2008","2022","summer","14","5.5785","2.76164285714286"
"0.531","0.00251","0.214","0.00137","-0.317","-0.001","-59.693","-45.49","Chickasaw","2009","2022","summer","13","-4.59176923076923","-3.49923076923077"
"0.145","0.00604","0.169","0.00784","0.023","0.002","16.122","29.869","Honey","2008","2022","summer","14","1.15157142857143","2.1335"
"0.167","0.241","0.183","0.268","0.016","0.026","9.509","10.858","Maumee","2008","2022","summer","14","0.679214285714286","0.775571428571429"
"0.142","0.0282","0.274","0.0422","0.132","0.014","92.653","49.589","Portage","2011","2022","summer","11","8.423","4.50809090909091"
"0.0733","0.0184","0.1077","0.0266","0.034","0.008","46.928","44.287","Raisin","2008","2022","summer","14","3.352","3.16335714285714"
"0.152","0.0638","0.185","0.0958","0.032","0.032","21.249","50.239","Sandusky","2008","2022","summer","14","1.51778571428571","3.5885"
"0.188","0.0125","0.186","0.0129","-0.001","0","-0.796","2.805","Tiffin","2008","2022","summer","14","-0.0568571428571429","0.200357142857143"
"0.22","0.0651","0.435","0.0887","0.228","0.024","110.26","37.572","Blanchard","2008","2022","fall","14","7.87571428571429","2.68371428571429"
"0.501","0.0075","0.198","0.00515","-0.345","-0.003","-63.481","-33.542","Chickasaw","2009","2022","fall","13","-4.88315384615385","-2.58015384615385"
"0.159","0.0419","0.188","0.053","0.03","0.012","18.789","27.758","Honey","2008","2022","fall","14","1.34207142857143","1.98271428571429"
"0.181","1.02","0.201","1.23","0.021","0.209","11.83","20.51","Maumee","2008","2022","fall","14","0.845","1.465"
"0.142","0.106","0.228","0.141","0.093","0.038","69.088","36.75","Portage","2011","2022","fall","11","6.28072727272727","3.34090909090909"
"0.0719","0.0606","0.09","0.081","0.02","0.023","29.177","39.358","Raisin","2008","2022","fall","14","2.08407142857143","2.81128571428571"
"0.136","0.235","0.185","0.376","0.047","0.143","34.054","61.442","Sandusky","2008","2022","fall","14","2.43242857142857","4.38871428571429"
"0.14","0.048","0.137","0.0543","0","0.008","-0.164","16.618","Tiffin","2008","2022","fall","14","-0.0117142857142857","1.187"
