"initialflux","initialFNflux","perFlux","perFNFlux","finalflux","finalFNflux","station","year1","year2","season","span","perSlopeFlux","perSlopeFNFlux"
"57.95","32.9","32.67","33.17","10.82","32.71","Maumee","2009","2021","winter","12","-6.78","-0.05"
"51.18","28.99","25.66","28.7","2.01","28.39","Tiffin","2009","2021","winter","12","-8.01","-0.17"
"47.67","31.78","32.69","32.09","28.08","31.91","Blanchard","2009","2021","winter","12","-3.42","0.03"
"48.67","33.31","33.8","34.04","22.49","33.73","Sandusky","2009","2021","winter","12","-4.48","0.11"
"42.96","33.62","32.75","33.4","24.75","31.72","Honey","2009","2021","winter","12","-3.53","-0.47"
"49.32","30.55","26.14","30.66","3.18","29.14","Raisin","2009","2021","winter","12","-7.8","-0.38"
"65.28","58.73","61","57.33","37.07","57.52","Maumee","2009","2021","spring","12","-3.6","-0.17"
"65.52","58.5","66.1","58.39","33.72","60.09","Tiffin","2009","2021","spring","12","-4.04","0.23"
"71.95","57.32","60.75","55.7","52.24","54.79","Blanchard","2009","2021","spring","12","-2.28","-0.37"
"65.95","57.34","60.55","55.26","48.06","54.01","Sandusky","2009","2021","spring","12","-2.26","-0.48"
"67.2","54.77","58.17","54.5","49.49","55.47","Honey","2009","2021","spring","12","-2.2","0.11"
"56.41","56.81","65.46","56.85","22.97","59.73","Raisin","2009","2021","spring","12","-4.94","0.43"
"2.98","8.84","11.07","8.89","1.46","1.65","Maumee","2009","2021","offseason","12","-4.25","-6.78"
"4.33","12.67","16.99","12.01","1.35","2.16","Tiffin","2009","2021","offseason","12","-5.74","-6.91"
"1.61","11.23","11.57","11.48","3.99","3.52","Blanchard","2009","2021","offseason","12","12.32","-5.72"
"0.78","9.49","9.76","9.84","2.59","2.25","Sandusky","2009","2021","offseason","12","19.34","-6.36"
"0.49","11.8","11.98","11.26","1.24","1.59","Honey","2009","2021","offseason","12","12.76","-7.21"
"3.74","12.21","20.53","11.42","1.36","2.65","Raisin","2009","2021","offseason","12","-5.3","-6.52"
